Kód;Název ORP;Kód Kraje (VÚSC);Název Kraje (VÚSC);Kód Okresu;Název Okresu
1597;Třebíč;108;Kraj Vysočina;3710;Třebíč
1678;Bystřice nad Pernštejnem;108;Kraj Vysočina;3714;Žďár nad Sázavou
1686;Nové Město na Moravě;108;Kraj Vysočina;3714;Žďár nad Sázavou
1694;Velké Meziříčí;108;Kraj Vysočina;3714;Žďár nad Sázavou
1708;Žďár nad Sázavou;108;Kraj Vysočina;3714;Žďár nad Sázavou
965;Hradec Králové;86;Královéhradecký kraj;3602;Hradec Králové
973;Nový Bydžov;86;Královéhradecký kraj;3602;Hradec Králové
1007;Hořice;86;Královéhradecký kraj;3604;Jičín
1015;Jičín;86;Královéhradecký kraj;3604;Jičín
1023;Nová Paka;86;Královéhradecký kraj;3604;Jičín
1031;Broumov;86;Královéhradecký kraj;3605;Náchod
1040;Jaroměř;86;Královéhradecký kraj;3605;Náchod
1066;Náchod;86;Královéhradecký kraj;3605;Náchod
1058;Nové Město nad Metují;86;Královéhradecký kraj;3605;Náchod
1104;Dobruška;86;Královéhradecký kraj;3607;Rychnov nad Kněžnou
1112;Kostelec nad Orlicí;86;Královéhradecký kraj;3607;Rychnov nad Kněžnou
1121;Rychnov nad Kněžnou;86;Královéhradecký kraj;3607;Rychnov nad Kněžnou
1201;Dvůr Králové nad Labem;86;Královéhradecký kraj;3610;Trutnov
1210;Trutnov;86;Královéhradecký kraj;3610;Trutnov
1228;Vrchlabí;86;Královéhradecký kraj;3610;Trutnov
710;Česká Lípa;78;Liberecký kraj;3501;Česká Lípa
701;Nový Bor;78;Liberecký kraj;3501;Česká Lípa
779;Jablonec nad Nisou;78;Liberecký kraj;3504;Jablonec nad Nisou
787;Tanvald;78;Liberecký kraj;3504;Jablonec nad Nisou
795;Železný Brod;78;Liberecký kraj;3504;Jablonec nad Nisou
809;Frýdlant;78;Liberecký kraj;3505;Liberec
817;Liberec;78;Liberecký kraj;3505;Liberec
1139;Jilemnice;78;Liberecký kraj;3608;Semily
1147;Semily;78;Liberecký kraj;3608;Semily
1155;Turnov;78;Liberecký kraj;3608;Semily
1716;Bruntál;132;Moravskoslezský kraj;3801;Bruntál
1724;Krnov;132;Moravskoslezský kraj;3801;Bruntál
1732;Rýmařov;132;Moravskoslezský kraj;3801;Bruntál
1741;Frýdek-Místek;132;Moravskoslezský kraj;3802;Frýdek-Místek
1759;Frýdlant nad Ostravicí;132;Moravskoslezský kraj;3802;Frýdek-Místek
1767;Jablunkov;132;Moravskoslezský kraj;3802;Frýdek-Místek
1775;Třinec;132;Moravskoslezský kraj;3802;Frýdek-Místek
1783;Bohumín;132;Moravskoslezský kraj;3803;Karviná
1821;Český Těšín;132;Moravskoslezský kraj;3803;Karviná
1791;Havířov;132;Moravskoslezský kraj;3803;Karviná
1805;Karviná;132;Moravskoslezský kraj;3803;Karviná
1813;Orlová;132;Moravskoslezský kraj;3803;Karviná
1830;Bílovec;132;Moravskoslezský kraj;3804;Nový Jičín
1848;Frenštát pod Radhoštěm;132;Moravskoslezský kraj;3804;Nový Jičín
1856;Kopřivnice;132;Moravskoslezský kraj;3804;Nový Jičín
1864;Nový Jičín;132;Moravskoslezský kraj;3804;Nový Jičín
1872;Odry;132;Moravskoslezský kraj;3804;Nový Jičín
1929;Hlučín;132;Moravskoslezský kraj;3806;Opava
1937;Kravaře;132;Moravskoslezský kraj;3806;Opava
1945;Opava;132;Moravskoslezský kraj;3806;Opava
1953;Vítkov;132;Moravskoslezský kraj;3806;Opava
1961;Ostrava;132;Moravskoslezský kraj;3807;Ostrava-město
2062;Jeseník;124;Olomoucký kraj;3811;Jeseník
1881;Litovel;124;Olomoucký kraj;3805;Olomouc
1899;Olomouc;124;Olomoucký kraj;3805;Olomouc
1911;Šternberk;124;Olomoucký kraj;3805;Olomouc
1902;Uničov;124;Olomoucký kraj;3805;Olomouc
1554;Konice;124;Olomoucký kraj;3709;Prostějov
1562;Prostějov;124;Olomoucký kraj;3709;Prostějov
1970;Hranice;124;Olomoucký kraj;3808;Přerov
1988;Lipník nad Bečvou;124;Olomoucký kraj;3808;Přerov
1996;Přerov;124;Olomoucký kraj;3808;Přerov
2003;Mohelnice;124;Olomoucký kraj;3809;Šumperk
2020;Šumperk;124;Olomoucký kraj;3809;Šumperk
2011;Zábřeh;124;Olomoucký kraj;3809;Šumperk
990;Hlinsko;94;Pardubický kraj;3603;Chrudim
981;Chrudim;94;Pardubický kraj;3603;Chrudim
1074;Holice;94;Pardubický kraj;3606;Pardubice
1082;Pardubice;94;Pardubický kraj;3606;Pardubice
1091;Přelouč;94;Pardubický kraj;3606;Pardubice
1163;Litomyšl;94;Pardubický kraj;3609;Svitavy
1171;Moravská Třebová;94;Pardubický kraj;3609;Svitavy
1180;Polička;94;Pardubický kraj;3609;Svitavy
1198;Svitavy;94;Pardubický kraj;3609;Svitavy
1279;Česká Třebová;94;Pardubický kraj;3611;Ústí nad Orlicí
1236;Králíky;94;Pardubický kraj;3611;Ústí nad Orlicí
1244;Lanškroun;94;Pardubický kraj;3611;Ústí nad Orlicí
1287;Ústí nad Orlicí;94;Pardubický kraj;3611;Ústí nad Orlicí
1252;Vysoké Mýto;94;Pardubický kraj;3611;Ústí nad Orlicí
