"kodjaz","typvaz","akrcis1","kodcis1","chodnota1","text1","akrcis2","kodcis2","chodnota2","text2"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ010","Hlavní město Praha","CISORP",65,"1000","Praha"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ020","Středočeský kraj","CISORP",65,"2101","Benešov"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ020","Středočeský kraj","CISORP",65,"2102","Beroun"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ020","Středočeský kraj","CISORP",65,"2103","Brandýs nad Labem-Stará Boleslav"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ020","Středočeský kraj","CISORP",65,"2104","Čáslav"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ020","Středočeský kraj","CISORP",65,"2105","Černošice"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ020","Středočeský kraj","CISORP",65,"2106","Český Brod"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ020","Středočeský kraj","CISORP",65,"2107","Dobříš"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ020","Středočeský kraj","CISORP",65,"2108","Hořovice"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ020","Středočeský kraj","CISORP",65,"2109","Kladno"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ020","Středočeský kraj","CISORP",65,"2110","Kolín"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ020","Středočeský kraj","CISORP",65,"2111","Kralupy nad Vltavou"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ020","Středočeský kraj","CISORP",65,"2112","Kutná Hora"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ020","Středočeský kraj","CISORP",65,"2113","Lysá nad Labem"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ020","Středočeský kraj","CISORP",65,"2114","Mělník"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ020","Středočeský kraj","CISORP",65,"2115","Mladá Boleslav"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ020","Středočeský kraj","CISORP",65,"2116","Mnichovo Hradiště"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ020","Středočeský kraj","CISORP",65,"2117","Neratovice"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ020","Středočeský kraj","CISORP",65,"2118","Nymburk"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ020","Středočeský kraj","CISORP",65,"2119","Poděbrady"
