"KRAJ","ORP","OBEC","BLOK","HLASYPROC"
"Karlovarský","Ostrov","Abertamy","",48.41
"Jihomoravský","Blansko","Adamov","",5.48
"Středočeský","Čáslav","Adamov","",3.64
"Jihočeský","České Budějovice","Adamov","",5.77
"Královéhradecký","Broumov","Adršpach","",4.72
"Moravskoslezský","Havířov","Albrechtice","",2.97
"Pardubický","Lanškroun","Albrechtice","",3.2
"Královéhradecký","Kostelec nad Orlicí","Albrechtice nad Orlicí","",2.16
"Jihočeský","Písek","Albrechtice nad Vltavou","",21.45
"Liberecký","Tanvald","Albrechtice v Jizerských horách","",2.44
"Moravskoslezský","Bílovec","Albrechtičky","",4.13
"Olomoucký","Prostějov","Alojzov","",5.07
"Moravskoslezský","Bruntál","Andělská Hora","",9.34
"Karlovarský","Karlovy Vary","Andělská Hora","",21.71
"Pardubický","Lanškroun","Anenská Studánka","",27.59
"Jihomoravský","Kyjov","Archlebov","",4.32
"Vysočina","Jihlava","Arnolec","",8.2
"Ústecký","Děčín","Arnoltice","",8.52
"Karlovarský","Aš","Aš","",37.94
"Vysočina","Moravské Budějovice","Babice","",16.86
"Královéhradecký","Nový Bydžov","Babice","",1.52
"Jihočeský","Prachatice","Babice","",5
"Středočeský","Říčany","Babice","",5.72
"Olomoucký","Šternberk","Babice","",3.66
"Zlínský","Uherské Hradiště","Babice","",5.14
"Jihomoravský","Šlapanice","Babice nad Svitavou","",5.52
"Jihomoravský","Rosice","Babice u Rosic","",6.85
"Plzeňský","Domažlice","Babylon","",2.94
"Vysočina","Pelhřimov","Bácovice","",6.67
"Královéhradecký","Jičín","Bačalky","",6.89
"Královéhradecký","Dobruška","Bačetín","",1.48
"Vysočina","Třebíč","Bačice","",4.62
"Středočeský","Mladá Boleslav","Bakov nad Jizerou","",6.77
"Vysočina","Velké Meziříčí","Baliny","",3.57
"Jihočeský","Tábor","Balkova Lhota","",18.41
"Pardubický","Svitavy","Banín","",15.79
"Zlínský","Uherský Brod","Bánov","",4.02
"Jihočeský","Dačice","Báňovice","",2.13
"Jihomoravský","Znojmo","Bantice","",12.26
"Královéhradecký","Nový Bydžov","Barchov","",1.1
"Pardubický","Pardubice","Barchov","",6.74
"Středočeský","Kolín","Barchovice","",10.15
"Moravskoslezský","Nový Jičín","Bartošovice","",3.21
"Vysočina","Havlíčkův Brod","Bartoušov","",8.57
"Zlínský","Kroměříž","Bařice-Velké Těšany","",5.88
"Moravskoslezský","Frýdek-Místek","Baška","",4.04
"Královéhradecký","Hořice","Bašnice","",3.04
"Středočeský","Brandýs nad Labem-Stará Boleslav","Bašť","",5.36
"Vysočina","Jihlava","Batelov","",4.32
"Královéhradecký","Trutnov","Batňovice","",5.8
"Jihočeský","Vodňany","Bavorov","",3.75
"Jihomoravský","Mikulov","Bavory","",12.3
"Středočeský","Beroun","Bavoryně","",9.68
"Plzeňský","Nýřany","Bdeněves","",4.52
"Středočeský","Rakovník","Bdín","",18.18
"Jihočeský","Tábor","Bečice","",2.5
"Jihočeský","Týn nad Vltavou","Bečice","",2.7
"Ústecký","Most","Bečov","",15.46
"Karlovarský","Karlovy Vary","Bečov nad Teplou","",16.91
"Středočeský","Kolín","Bečváry","",3.71
"Olomoucký","Prostějov","Bedihošť","",5.4
"Jihočeský","Jindřichův Hradec","Bednárec","",2.22
"Jihočeský","Jindřichův Hradec","Bednáreček","",15
"Jihomoravský","Boskovice","Bedřichov","",7.79
"Liberecký","Jablonec nad Nisou","Bedřichov","",12.22
"Plzeňský","Klatovy","Běhařov","",17.65
"Jihomoravský","Znojmo","Běhařovice","",9.77
"Královéhradecký","Jičín","Běchary","",2.27
"Ústecký","Roudnice nad Labem","Bechlín","",9.87
"Jihočeský","Tábor","Bechyně","",5.43
"Moravskoslezský","Hlučín","Bělá","",1.87
"Vysočina","Pelhřimov","Bělá","",14.28
"Liberecký","Semily","Bělá","",4.55
"Vysočina","Světlá nad Sázavou","Bělá","",3.12
"Plzeňský","Domažlice","Bělá nad Radbuzou","",4.48
"Pardubický","Svitavy","Bělá nad Svitavou","",4.72
"Středočeský","Mladá Boleslav","Bělá pod Bezdězem","",6.51
"Olomoucký","Jeseník","Bělá pod Pradědem","",3.92
"Pardubický","Moravská Třebová","Bělá u Jevíčka","",5.69
"Jihočeský","Blatná","Bělčice","",8.49
"Středočeský","Kladno","Běleč","",5.38
"Jihočeský","Tábor","Běleč","",22.39
"Jihomoravský","Tišnov","Běleč","",6.5
"Královéhradecký","Hradec Králové","Běleč nad Orlicí","",3.52
"Olomoucký","Olomouc","Bělkovice-Lašťany","",3.82
"Středočeský","Kladno","Běloky","",11.11
"Olomoucký","Hranice","Bělotín","",4.46
"Zlínský","Otrokovice","Bělov","",9.18
"Středočeský","Kolín","Bělušice","",3.26
"Ústecký","Most","Bělušice","",25
"Královéhradecký","Hradec Králové","Benátky","",8.11
"Pardubický","Litomyšl","Benátky","",20.69
"Středočeský","Mladá Boleslav","Benátky nad Jizerou","",6.91
"Liberecký","Jilemnice","Benecko","",9.82
"Středočeský","Benešov","Benešov","",4.89
"Jihomoravský","Boskovice","Benešov","",5.31
"Jihočeský","Kaplice","Benešov nad Černou","",4.41
"Ústecký","Děčín","Benešov nad Ploučnicí","",14.91
"Liberecký","Semily","Benešov u Semil","",5.54
"Plzeňský","Stříbro","Benešovice","",21.25
"Vysočina","Třebíč","Benetice","",8.33
"Olomoucký","Přerov","Beňov","",6.73
"Středočeský","Kutná Hora","Bernardov","",4.55
"Olomoucký","Jeseník","Bernartice","",1.68
"Jihočeský","Milevsko","Bernartice","",11.09
