"KRAJ","ORP","OBEC","BLOK","HLASYPROC"
"Královéhradecký","Trutnov","Bernartice","",2.66
"Středočeský","Vlašim","Bernartice","",3.33
"Moravskoslezský","Nový Jičín","Bernartice nad Odrou","",5.96
"Středočeský","Beroun","Beroun","",5.62
"Středočeský","Poděbrady","Běrunice","",6.4
"Středočeský","Slaný","Beřovice","",12.62
"Jihočeský","Kaplice","Besednice","",4.95
"Pardubický","Vysoké Mýto","Běstovice","",7.69
"Pardubický","Chrudim","Běstvina","",6.56
"Plzeňský","Klatovy","Běšiny","",7.6
"Středočeský","Hořovice","Běštín","",9.31
"Pardubický","Moravská Třebová","Bezděčí u Trnávky","",15.79
"Jihočeský","Blatná","Bezdědovice","",2.43
"Vysočina","Chotěboř","Bezděkov","",1.2
"Plzeňský","Klatovy","Bezděkov","",1.7
"Pardubický","Pardubice","Bezděkov","",20.2
"Plzeňský","Rokycany","Bezděkov","",11.11
"Královéhradecký","Náchod","Bezděkov nad Metují","",4.25
"Středočeský","Příbram","Bezděkov pod Třemšínem","",5.36
"Liberecký","Česká Lípa","Bezděz","",16.45
"Plzeňský","Stříbro","Bezdružice","",1.63
"Jihomoravský","Znojmo","Bezkov","",12.5
"Zlínský","Kroměříž","Bezměrov","",6.39
"Středočeský","Mladá Boleslav","Bezno","",7.84
"Olomoucký","Přerov","Bezuchov","",3.64
"Plzeňský","Kralovice","Bezvěrov","",4.42
"Moravskoslezský","Frýdlant nad Ostravicí","Bílá","",2.5
"Liberecký","Liberec","Bílá","",5.4
"Středočeský","Mnichovo Hradiště","Bílá Hlína","",2.13
"Olomoucký","Litovel","Bílá Lhota","",5.16
"Královéhradecký","Dvůr Králové nad Labem","Bílá Třemešná","",3.98
"Olomoucký","Jeseník","Bílá Voda","",6.12
"Středočeský","Čáslav","Bílé Podolí","",3.8
"Královéhradecký","Dvůr Králové nad Labem","Bílé Poličany","",3.38
"Ústecký","Chomutov","Bílence","",14.55
"Středočeský","Slaný","Bílichov","",5.66
"Ústecký","Bílina","Bílina","",12.44
"Středočeský","Vlašim","Bílkovice","",1.12
"Moravskoslezský","Bílovec","Bílov","",5.89
"Plzeňský","Kralovice","Bílov","",5
"Moravskoslezský","Bílovec","Bílovec","",2.94
"Zlínský","Uherské Hradiště","Bílovice","",5.66
"Olomoucký","Prostějov","Bílovice-Lutotín","",3.34
"Jihomoravský","Šlapanice","Bílovice nad Svitavou","",5.45
"Olomoucký","Litovel","Bílsko","",5.64
"Jihočeský","Vodňany","Bílsko","",4.48
"Královéhradecký","Hořice","Bílsko u Hořic","",12.49
"Vysočina","Jihlava","Bílý Kámen","",0.88
"Liberecký","Liberec","Bílý Kostel nad Nisou","",4.55
"Liberecký","Frýdlant","Bílý Potok","",9.46
"Královéhradecký","Rychnov nad Kněžnou","Bílý Újezd","",3.78
"Plzeňský","Klatovy","Biřkov","",3.45
"Jihomoravský","Ivančice","Biskoupky","",9.09
"Zlínský","Luhačovice","Biskupice","",5.01
"Pardubický","Moravská Třebová","Biskupice","",3.1
"Olomoucký","Prostějov","Biskupice","",4.41
"Vysočina","Třebíč","Biskupice-Pulkov","",4.08
"Středočeský","Mladá Boleslav","Bítouchov","",7.13
"Moravskoslezský","Bílovec","Bítov","",2.67
"Jihomoravský","Znojmo","Bítov","",5.41
"Pardubický","Chrudim","Bítovany","",8.54
"Vysočina","Jihlava","Bítovčice","",2.7
"Ústecký","Žatec","Bitozeves","",20.65
"Jihomoravský","Znojmo","Blanné","",7.69
"Jihomoravský","Blansko","Blansko","",6.11
"Liberecký","Česká Lípa","Blatce","",5.66
"Olomoucký","Olomouc","Blatec","",2.95
"Jihočeský","Blatná","Blatná","",4.16
"Vysočina","Moravské Budějovice","Blatnice","",3.96
"Plzeňský","Nýřany","Blatnice","",2.34
"Jihomoravský","Veselí nad Moravou","Blatnice pod Svatým Antonínkem","",4.83
"Jihomoravský","Veselí nad Moravou","Blatnička","",4.43
"Ústecký","Chomutov","Blatno","",33.01
"Ústecký","Podbořany","Blatno","",8.97
"Zlínský","Bystřice pod Hostýnem","Blazice","",2.64
"Jihočeský","Jindřichův Hradec","Blažejov","",11.12
"Středočeský","Vlašim","Blažejovice","",10.2
"Plzeňský","Nýřany","Blažim","",6.67
"Ústecký","Žatec","Blažim","",26.09
"Vysočina","Bystřice nad Pernštejnem","Blažkov","",7.22
"Jihomoravský","Šlapanice","Blažovice","",5.09
"Královéhradecký","Hradec Králové","Blešno","",2.55
"Středočeský","Kladno","Blevice","",6.17
"Vysočina","Velké Meziříčí","Blízkov","",9.4
"Plzeňský","Horšovský Týn","Blížejov","",9.2
"Liberecký","Česká Lípa","Blíževedly","",9.18
"Jihomoravský","Znojmo","Blížkovice","",5.17
"Plzeňský","Blovice","Blovice","",4.51
"Ústecký","Podbořany","Blšany","",12.98
"Ústecký","Louny","Blšany u Loun","",15.65
"Jihomoravský","Židlochovice","Blučina","",5.53
"Středočeský","Kutná Hora","Bludov","",10
"Olomoucký","Šumperk","Bludov","",5.18
"Středočeský","Nymburk","Bobnice","",5.61
"Vysočina","Nové Město na Moravě","Bobrová","",2
"Vysočina","Nové Město na Moravě","Bobrůvka","",5
"Moravskoslezský","Jablunkov","Bocanovice","",4.12
"Královéhradecký","Hořice","Boháňka","",3.92
"Královéhradecký","Hradec Králové","Boharyně","",3.31
"Jihomoravský","Bučovice","Bohaté Málkovice","",2.78
"Liberecký","Česká Lípa","Bohatice","",15.78
"Vysočina","Žďár nad Sázavou","Bohdalec","",7.69
"Jihomoravský","Vyškov","Bohdalice-Pavlovice","",7.39
"Vysočina","Pelhřimov","Bohdalín","",1.75
"Vysočina","Žďár nad Sázavou","Bohdalov","",3.85
"Jihočeský","Český Krumlov","Bohdalovice","",3.58
"Středočeský","Kutná Hora","Bohdaneč","",5.04
"Královéhradecký","Dobruška","Bohdašín","",3.45
"Olomoucký","Šumperk","Bohdíkov","",5.58
"Středočeský","Příbram","Bohostice","",9.09
"Jihočeský","Vimperk","Bohumilice","",5.8
"Moravskoslezský","Bohumín","Bohumín","",2.02
"Jihočeský","Prachatice","Bohunice","",4.17
"Vysočina","Bystřice nad Pernštejnem","Bohuňov","",4.21
"Pardubický","Svitavy","Bohuňov","",16.4
"Pardubický","Litomyšl","Bohuňovice","",16.13
"Olomoucký","Olomouc","Bohuňovice","",3.73
"Moravskoslezský","Hlučín","Bohuslavice","",3.3
"Olomoucký","Konice","Bohuslavice","",6.35
"Královéhradecký","Nové Město nad Metují","Bohuslavice","",3.17
"Vysočina","Telč","Bohuslavice","",3.92
"Olomoucký","Zábřeh","Bohuslavice","",3.69
"Zlínský","Luhačovice","Bohuslavice nad Vláří","",1.08
"Zlínský","Zlín","Bohuslavice u Zlína","",10.29
"Olomoucký","Lipník nad Bečvou","Bohuslávky","",2.08
"Vysočina","Moravské Budějovice","Bohušice","",2.27
"Moravskoslezský","Krnov","Bohušov","",2.6
"Ústecký","Litoměřice","Bohušovice nad Ohří","",8.53
"Jihomoravský","Moravský Krumlov","Bohutice","",8.42
"Středočeský","Příbram","Bohutín","",4.18
"Olomoucký","Šumperk","Bohutín","",5.32
"Plzeňský","Kralovice","Bohy","",11.76
"Olomoucký","Přerov","Bochoř","",3.27
"Karlovarský","Karlovy Vary","Bochov","",39.17
"Vysočina","Třebíč","Bochovice","",5.17
"Pardubický","Chrudim","Bojanov","",22.43
"Středočeský","Černošice","Bojanovice","",7.6
"Jihomoravský","Znojmo","Bojanovice","",6.67
"Vysočina","Světlá nad Sázavou","Bojiště","",8.54
"Zlínský","Uherský Brod","Bojkovice","",7.91
"Moravskoslezský","Kravaře","Bolatice","",2.45
"Ústecký","Chomutov","Boleboř","",19.81
"Královéhradecký","Kostelec nad Orlicí","Bolehošť","",3.78
"Jihomoravský","Hustopeče","Boleradice","",13.49
"Plzeňský","Klatovy","Bolešiny","",2.12
"Plzeňský","Tachov","Bor","",4.08
"Pardubický","Chrudim","Bor u Skutče","",8.33
"Jihomoravský","Tišnov","Borač","",8.48
"Moravskoslezský","Frenštát pod Radhoštěm","Bordovice","",4.12
"Středočeský","Mladá Boleslav","Boreč","",5.72
"Středočeský","Brandýs nad Labem-Stará Boleslav","Borek","",10.86
"Jihočeský","České Budějovice","Borek","",8.06
"Královéhradecký","Hořice","Borek","",3.45
"Vysočina","Chotěboř","Borek","",5.26
"Pardubický","Pardubice","Borek","",3.3
"Jihomoravský","Hustopeče","Borkovany","",12.88
"Jihočeský","Soběslav","Borkovice","",9.69
"Královéhradecký","Kostelec nad Orlicí","Borohrádek","",1.67
"Středočeský","Dobříš","Borotice","",5.17
"Jihomoravský","Znojmo","Borotice","",21.11
"Jihomoravský","Boskovice","Borotín","",7.38
"Jihočeský","Tábor","Borotín","",12.13
"Královéhradecký","Náchod","Borová","",9.24
"Pardubický","Polička","Borová","",13.95
"Jihočeský","Vimperk","Borová Lada","",14.92
"Jihočeský","Milevsko","Borovany","",10.47
"Jihočeský","Trhové Sviny","Borovany","",5.17
"Vysočina","Telč","Borovná","",6.9
"Jihočeský","České Budějovice","Borovnice","",11.12
"Královéhradecký","Dvůr Králové nad Labem","Borovnice","",1.1
"Královéhradecký","Kostelec nad Orlicí","Borovnice","",4.04
"Vysočina","Nové Město na Moravě","Borovnice","",6.66
"Středočeský","Vlašim","Borovnice","",4.44
"Královéhradecký","Dvůr Králové nad Labem","Borovnička","",7.4
"Jihomoravský","Tišnov","Borovník","",11.37
"Plzeňský","Blovice","Borovno","",7.32
"Plzeňský","Přeštice","Borovy","",1.47
"Zlínský","Uherské Hradiště","Boršice","",6.84
"Zlínský","Uherské Hradiště","Boršice u Blatnice","",10.71
"Vysočina","Jihlava","Boršov","",1.35
"Jihočeský","České Budějovice","Boršov nad Vltavou","",5.56
"Pardubický","Moravská Třebová","Borušov","",4.66
"Vysočina","Velké Meziříčí","Bory","",5.14
"Středočeský","Brandýs nad Labem-Stará Boleslav","Bořanovice","",7.15
"Zlínský","Holešov","Bořenovice","",10.29
"Jihomoravský","Hustopeče","Bořetice","",8.77
"Vysočina","Pelhřimov","Bořetice","",18.92
"Vysočina","Pelhřimov","Bořetín","",2.63
"Pardubický","Chrudim","Bořice","",12.9
"Ústecký","Teplice","Bořislav","",13.71
"Jihomoravský","Blansko","Bořitov","",16.62
"Středočeský","Mnichovo Hradiště","Boseň","",7.45
"Jihomoravský","Boskovice","Boskovice","",7.56
"Jihomoravský","Znojmo","Boskovštejn","",12.13
"Jihočeský","Vimperk","Bošice","",8.92
"Jihočeský","České Budějovice","Bošilec","",6.41
"Pardubický","Vysoké Mýto","Bošín","",28.58
"Jihomoravský","Slavkov u Brna","Bošovice","",13.73
"Jihočeský","Písek","Boudy","",22.22
"Pardubický","Chrudim","Bousov","",3.08
"Olomoucký","Litovel","Bouzov","",20.53
"Liberecký","Semily","Bozkov","",2.48
"Královéhradecký","Broumov","Božanov","",2.73
"Vysočina","Pelhřimov","Božejov","",6.74
"Jihočeský","Milevsko","Božetice","",7.54
"Karlovarský","Ostrov","Boží Dar","",54.74
"Jihomoravský","Znojmo","Božice","",9.43
"Karlovarský","Karlovy Vary","Božičany","",31.66
"Královéhradecký","Jičín","Brada-Rybníček","",2.28
"Středočeský","Mladá Boleslav","Bradlec","",3.62
"Liberecký","Semily","Bradlecká Lhota","",7.15
"Středočeský","Čáslav","Brambory","",10.81
"Ústecký","Most","Braňany","",25.09
"Ústecký","Litvínov","Brandov","",34.13
"Středočeský","Brandýs nad Labem-Stará Boleslav","Brandýs nad Labem-Stará Boleslav","",4.95
"Pardubický","Ústí nad Orlicí","Brandýs nad Orlicí","",7.48
"Středočeský","Kladno","Brandýsek","",5.56
"Jihočeský","Milevsko","Branice","",10.52
"Jihomoravský","Tišnov","Braníškov","",6.1
"Jihočeský","České Budějovice","Branišov","",2.18
"Jihomoravský","Pohořelice","Branišovice","",5.54
"Moravskoslezský","Opava","Branka u Opavy","",4.13
"Jihomoravský","Bučovice","Brankovice","",10.25
"Zlínský","Valašské Meziříčí","Branky","",5.42
"Olomoucký","Šumperk","Branná","",1.64
"Středočeský","Rakovník","Branov","",1.43
"Vysočina","Třebíč","Bransouze","",9.09
"Moravskoslezský","Krnov","Brantice","",4.02
"Středočeský","Mnichovo Hradiště","Branžež","",4.16
"Středočeský","Kladno","Braškov","",5.74
"Středočeský","Čáslav","Bratčice","",2.7
"Jihomoravský","Židlochovice","Bratčice","",21.4
"Středočeský","Příbram","Bratkovice","",14.14
"Jihočeský","Blatná","Bratronice","",23.06
"Středočeský","Kladno","Bratronice","",8.86
"Olomoucký","Šumperk","Bratrušov","",2.43
"Zlínský","Vizovice","Bratřejov","",2.99
"Moravskoslezský","Opava","Bratříkovice","",2.27
"Středočeský","Černošice","Bratřínov","",16.67
"Moravskoslezský","Bílovec","Bravantice","",3.84
"Středočeský","Brandýs nad Labem-Stará Boleslav","Brázdim","",2.4
"Karlovarský","Karlovy Vary","Bražec","",15
"Jihočeský","Český Krumlov","Brloh","",7.83
"Pardubický","Přelouč","Brloh","",9.46
"Ústecký","Litoměřice","Brňany","",11.96
"Pardubický","Svitavy","Brněnec","",5.39
"Olomoucký","Zábřeh","Brníčko","",7.55
"Plzeňský","Domažlice","Brnířov","",4
"Liberecký","Česká Lípa","Brniště","",7.41
"Jihomoravský","Brno","Brno-Bohunice","",8.42
"Jihomoravský","Brno","Brno-Bosonohy","",8.99
"Jihomoravský","Brno","Brno-Bystrc","",10.02
"Jihomoravský","Brno","Brno-Černovice","",10.28
"Jihomoravský","Brno","Brno-Chrlice","",10.03
"Jihomoravský","Brno","Brno-Ivanovice","",6.43
"Jihomoravský","Brno","Brno-Jehnice","",12.48
"Jihomoravský","Brno","Brno-jih","",8.02
"Jihomoravský","Brno","Brno-Jundrov","",11.47
"Jihomoravský","Brno","Brno-Kníničky","",13.97
"Jihomoravský","Brno","Brno-Kohoutovice","",9.87
"Jihomoravský","Brno","Brno-Komín","",11.33
"Jihomoravský","Brno","Brno-Královo Pole","",8.65
"Jihomoravský","Brno","Brno-Líšeň","",7.04
"Jihomoravský","Brno","Brno-Maloměřice a Obřany","",11.03
"Jihomoravský","Brno","Brno-Medlánky","",5.42
"Jihomoravský","Brno","Brno-Nový Lískovec","",13.07
"Jihomoravský","Brno","Brno-Ořešín","",8.4
"Jihomoravský","Brno","Brno-Řečkovice a Mokrá Hora","",8.8
"Jihomoravský","Brno","Brno-sever","",8.37
"Jihomoravský","Brno","Brno-Slatina","",8.62
"Jihomoravský","Brno","Brno-Starý Lískovec","",8.13
"Jihomoravský","Brno","Brno-střed","",10.56
"Jihomoravský","Brno","Brno-Tuřany","",8.28
"Jihomoravský","Brno","Brno-Útěchov","",6.82
"Jihomoravský","Brno","Brno-Vinohrady","",11.01
"Jihomoravský","Brno","Brno-Žabovřesky","",9.58
"Jihomoravský","Brno","Brno-Žebětín","",8.66
"Jihomoravský","Brno","Brno-Židenice","",11.24
"Jihomoravský","Mikulov","Brod nad Dyjí","",16.54
"Středočeský","Mladá Boleslav","Brodce","",6.8
"Ústecký","Louny","Brodec","",7.7
"Olomoucký","Konice","Brodek u Konice","",6.76
"Olomoucký","Prostějov","Brodek u Prostějova","",4.85
"Olomoucký","Přerov","Brodek u Přerova","",4.01
"Plzeňský","Kralovice","Brodeslavy","",10.35
"Královéhradecký","Broumov","Broumov","",1.66
"Plzeňský","Tachov","Broumov","",2.27
"Středočeský","Beroun","Broumy","",4.93
"Ústecký","Litoměřice","Brozany nad Ohří","",5.91
"Vysočina","Jihlava","Brtnice","",5.22
"Vysočina","Jihlava","Brtnička","",12.5
"Jihomoravský","Blansko","Brťov-Jeneč","",4.88
"Jihomoravský","Tišnov","Brumov","",9
"Zlínský","Valašské Klobouky","Brumov-Bylnice","",6.59
"Jihomoravský","Hustopeče","Brumovice","",37.23
"Moravskoslezský","Opava","Brumovice","",1.2
"Moravskoslezský","Bruntál","Bruntál","",2.57
"Zlínský","Bystřice pod Hostýnem","Brusné","",15.7
"Moravskoslezský","Frýdek-Místek","Brušperk","",3.68
"Moravskoslezský","Frýdek-Místek","Bruzovice","",2.05
"Ústecký","Roudnice nad Labem","Brzánky","",33.33
"Královéhradecký","Náchod","Brzice","",2.66
"Vysočina","Jihlava","Brzkov","",5.88
"Plzeňský","Rokycany","Břasy","",3.11
"Jihomoravský","Břeclav","Břeclav","",11.12
"Jihočeský","České Budějovice","Břehov","",5.97
"Pardubický","Přelouč","Břehy","",7.12
"Zlínský","Kroměříž","Břest","",5.44
"Zlínský","Uherské Hradiště","Břestek","",6.35
"Vysočina","Havlíčkův Brod","Břevnice","",13.85
"Vysočina","Velké Meziříčí","Březejc","",6.24
"Jihočeský","Blatná","Březí","",4.76
"Jihomoravský","Mikulov","Březí","",12.13
"Středočeský","Říčany","Březí","",6.15
"Vysočina","Velké Meziříčí","Březí","",3.39
"Vysočina","Žďár nad Sázavou","Březí nad Oslavou","",3.95
"Jihočeský","Jindřichův Hradec","Březina","",7.69
"Středočeský","Mnichovo Hradiště","Březina","",5.46
"Pardubický","Moravská Třebová","Březina","",1.82
"Plzeňský","Rokycany","Březina","",7.47
"Jihomoravský","Šlapanice","Březina","",6.94
"Jihomoravský","Tišnov","Březina","",4.25
"Pardubický","Moravská Třebová","Březinky","",17.5
"Pardubický","Polička","Březiny","",18.37
"Středočeský","Příbram","Březnice","",5.51
"Jihočeský","Tábor","Březnice","",2.82
"Zlínský","Zlín","Březnice","",6.96
"Vysočina","Náměšť nad Oslavou","Březník","",3.91
"Ústecký","Chomutov","Březno","",15.67
"Středočeský","Mladá Boleslav","Březno","",6.1
"Zlínský","Uherské Hradiště","Březolupy","",5.91
"Středočeský","Hořovice","Březová","",8.7
"Karlovarský","Karlovy Vary","Březová","",16.65
"Karlovarský","Sokolov","Březová","",31
"Zlínský","Uherský Brod","Březová","",3.6
"Moravskoslezský","Vítkov","Březová","",2.27
"Zlínský","Vizovice","Březová","",6.53
"Středočeský","Černošice","Březová-Oleško","",8.4
"Pardubický","Svitavy","Březová nad Svitavou","",14.48
"Středočeský","Mladá Boleslav","Březovice","",7.25
"Vysočina","Velké Meziříčí","Březské","",12.69
"Olomoucký","Konice","Březsko","",10.34
"Zlínský","Zlín","Březůvky","",5.12
"Plzeňský","Horažďovice","Břežany","",3.28
"Středočeský","Rakovník","Břežany","",11.9
"Jihomoravský","Znojmo","Břežany","",8.29
"Středočeský","Kolín","Břežany I","",4.7
"Středočeský","Český Brod","Břežany II","",10.84
"Moravskoslezský","Rýmařov","Břidličná","",3.17
"Středočeský","Lysá nad Labem","Bříství","",1.94
"Královéhradecký","Hořice","Bříšťany","",7.41
"Ústecký","Roudnice nad Labem","Bříza","",9.8
"Ústecký","Louny","Břvany","",10.71
"Karlovarský","Kraslice","Bublava","",24.81
"Středočeský","Beroun","Bubovice","",3.52
"Plzeňský","Nýřany","Bučí","",3.77
"Pardubický","Vysoké Mýto","Bučina","",16.46
"Jihomoravský","Bučovice","Bučovice","",5.55
"Královéhradecký","Jičín","Budčeves","",1.89
"Jihočeský","Dačice","Budeč","",15.61
"Vysočina","Žďár nad Sázavou","Budeč","",1.92
"Plzeňský","Sušice","Budětice","",5.55
"Olomoucký","Konice","Budětsko","",7.9
"Vysočina","Humpolec","Budíkov","",3.45
"Středočeský","Nymburk","Budiměřice","",7.86
"Pardubický","Litomyšl","Budislav","",12.41
"Jihočeský","Soběslav","Budislav","",2.34
"Jihočeský","Dačice","Budíškovice","",7.08
"Vysočina","Třebíč","Budišov","",3.37
"Moravskoslezský","Vítkov","Budišov nad Budišovkou","",2.54
"Moravskoslezský","Opava","Budišovice","",2.78
"Jihočeský","Prachatice","Budkov","",2.86
"Ústecký","Roudnice nad Labem","Budyně nad Ohří","",20.8
"Zlínský","Uherské Hradiště","Buchlovice","",8.52
"Jihočeský","Kaplice","Bujanov","",7.2
"Plzeňský","Rokycany","Bujesily","",2.7
"Olomoucký","Přerov","Buk","",4.9
"Jihočeský","Vimperk","Buk","",3.06
"Vysočina","Bystřice nad Pernštejnem","Bukov","",5
"Olomoucký","Prostějov","Buková","",23.07
"Plzeňský","Přeštice","Buková","",4.68
"Středočeský","Příbram","Buková u Příbramě","",8.54
"Středočeský","Benešov","Bukovany","",5.1
"Jihomoravský","Kyjov","Bukovany","",3.15
"Olomoucký","Olomouc","Bukovany","",4.91
"Středočeský","Příbram","Bukovany","",3.45
"Karlovarský","Sokolov","Bukovany","",10.42
"Moravskoslezský","Jablunkov","Bukovec","",3.03
"Královéhradecký","Náchod","Bukovice","",3.57
"Jihomoravský","Tišnov","Bukovice","",4.76
"Jihomoravský","Blansko","Bukovina","",5.56
"Pardubický","Pardubice","Bukovina nad Labem","",7.01
"Liberecký","Jilemnice","Bukovina u Čisté","",6.58
"Pardubický","Přelouč","Bukovina u Přelouče","",4
"Jihomoravský","Blansko","Bukovinka","",10.43
"Pardubický","Pardubice","Bukovka","",11.54
"Středočeský","Mladá Boleslav","Bukovno","",9.63
"Královéhradecký","Jičín","Bukvice","",1.64
"Jihomoravský","Břeclav","Bulhary","",10.59
"Liberecký","Frýdlant","Bulovka","",12.98
"Středočeský","Černošice","Buš","",6.64
"Jihočeský","Prachatice","Bušanovice","",8.8
"Olomoucký","Šumperk","Bušín","",4.93
"Plzeňský","Rokycany","Bušovice","",3.71
"Středočeský","Kladno","Buštěhrad","",6.15
"Královéhradecký","Jičín","Butoves","",1.28
"Jihočeský","Blatná","Buzice","",3.58
"Ústecký","Litoměřice","Býčkovice","",18.06
"Středočeský","Kolín","Býchory","",5.79
"Středočeský","Mělník","Býkev","",11.13
"Středočeský","Beroun","Bykoš","",22.97
"Moravskoslezský","Krnov","Býkov-Láryšov","",1.89
"Jihomoravský","Blansko","Býkovice","",9.48
"Pardubický","Chrudim","Bylany","",13.48
"Ústecký","Děčín","Bynovec","",5.2
"Vysočina","Humpolec","Bystrá","",9.3
"Liberecký","Semily","Bystrá nad Jizerou","",8.52
"Královéhradecký","Dobruška","Bystré","",0.97
"Pardubický","Polička","Bystré","",27.97
"Olomoucký","Olomouc","Bystročice","",5.14
"Olomoucký","Olomouc","Bystrovany","",2.8
"Ústecký","Teplice","Bystřany","",15.82
