"KRAJ","ORP","STRANA","ZKRATKA","BLOK","HLASYABS","HLASYOBEC","HLASYPROC"
"Jihočeský","Prachatice","LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …","ND+LŽPL","",32,9004,0.36
"Jihomoravský","Rosice","LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …","ND+LŽPL","",12,7165,0.17
"Ústecký","Roudnice nad Labem","LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …","ND+LŽPL","",35,8195,0.43
"Ústecký","Rumburk","LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …","ND+LŽPL","",23,6887,0.33
"Královéhradecký","Rychnov nad Kněžnou","LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …","ND+LŽPL","",51,8775,0.58
"Liberecký","Semily","LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …","ND+LŽPL","",43,7119,0.6
"Jihomoravský","Slavkov u Brna","LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …","ND+LŽPL","",12,6866,0.17
"Jihočeský","Soběslav","LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …","ND+LŽPL","",27,6781,0.4
"Jihočeský","Strakonice","LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …","ND+LŽPL","",50,12114,0.41
"Vysočina","Světlá nad Sázavou","LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …","ND+LŽPL","",18,5435,0.33
"Jihomoravský","Šlapanice","LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …","ND+LŽPL","",58,22246,0.26
"Jihočeský","Tábor","LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …","ND+LŽPL","",87,23228,0.37
"Liberecký","Tanvald","LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …","ND+LŽPL","",30,4731,0.63
"Vysočina","Telč","LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …","ND+LŽPL","",23,4011,0.57
"Ústecký","Teplice","LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …","ND+LŽPL","",64,22582,0.28
"Jihomoravský","Tišnov","LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …","ND+LŽPL","",16,9650,0.17
"Jihočeský","Trhové Sviny","LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …","ND+LŽPL","",11,5939,0.19
"Královéhradecký","Trutnov","LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …","ND+LŽPL","",104,15277,0.68
"Vysočina","Třebíč","LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …","ND+LŽPL","",76,20732,0.37
"Jihočeský","Třeboň","LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …","ND+LŽPL","",26,6902,0.38
"Liberecký","Turnov","LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …","ND+LŽPL","",35,9736,0.36
"Jihočeský","Týn nad Vltavou","LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …","ND+LŽPL","",15,4048,0.37
"Ústecký","Ústí nad Labem","LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …","ND+LŽPL","",84,26876,0.31
"Ústecký","Varnsdorf","LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …","ND+LŽPL","",8,4215,0.19
"Vysočina","Velké Meziříčí","LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …","ND+LŽPL","",33,10139,0.33
"Jihomoravský","Veselí nad Moravou","LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …","ND+LŽPL","",34,10005,0.34
"Jihočeský","Vimperk","LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …","ND+LŽPL","",22,4368,0.5
"Jihočeský","Vodňany","LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …","ND+LŽPL","",7,3279,0.21
"Královéhradecký","Vrchlabí","LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …","ND+LŽPL","",41,6473,0.63
"Jihomoravský","Vyškov","LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …","ND+LŽPL","",50,14083,0.36
"Jihomoravský","Znojmo","LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …","ND+LŽPL","",76,24160,0.31
"Ústecký","Žatec","LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …","ND+LŽPL","",28,6267,0.45
"Vysočina","Žďár nad Sázavou","LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …","ND+LŽPL","",71,11552,0.61
"Liberecký","Železný Brod","LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …","ND+LŽPL","",17,3426,0.5
"Jihomoravský","Židlochovice","LEPŠÍ ŽIVOT PRO LIDI - minimální MZDA 70.000 Kč, minimální DŮCHOD 50.000 Kč, ZRUŠENÍ daně z nemovitostí, …","ND+LŽPL","",28,9874,0.28
"Středočeský","Benešov","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",43,16452,0.26
"Středočeský","Beroun","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",22,16332,0.13
"Plzeňský","Blovice","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",8,3514,0.23
"Středočeský","Brandýs nad Labem-Stará Boleslav","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",35,28083,0.12
"Středočeský","Čáslav","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",31,6759,0.46
"Středočeský","Černošice","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",64,39906,0.16
"Středočeský","Český Brod","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",13,4761,0.27
"Středočeský","Dobříš","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",16,6323,0.25
"Plzeňský","Domažlice","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",21,9747,0.22
"Plzeňský","Horažďovice","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",8,3124,0.26
"Plzeňský","Horšovský Týn","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",14,3348,0.42
"Středočeský","Hořovice","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",15,7715,0.19
"Středočeský","Kladno","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",72,28190,0.26
"Plzeňský","Klatovy","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",46,12494,0.37
"Středočeský","Kolín","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",32,20750,0.15
"Plzeňský","Kralovice","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",38,6254,0.61
"Středočeský","Kralupy nad Vltavou","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",21,7494,0.28
"Středočeský","Kutná Hora","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",36,12894,0.28
"Středočeský","Lysá nad Labem","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",12,6277,0.19
"Středočeský","Mělník","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",22,10216,0.22
"Středočeský","Mladá Boleslav","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",52,25851,0.2
"Středočeský","Mnichovo Hradiště","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",5,5026,0.1
"Plzeňský","Nepomuk","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",8,3149,0.25
"Středočeský","Neratovice","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",12,6893,0.17
"Středočeský","Nymburk","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",14,10727,0.13
"Plzeňský","Nýřany","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",61,13987,0.44
"Plzeňský","Plzeň","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",151,46603,0.32
"Středočeský","Poděbrady","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",15,8743,0.17
"Plzeňský","Přeštice","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",13,6063,0.21
"Středočeský","Příbram","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",81,18529,0.44
"Středočeský","Rakovník","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",24,13673,0.18
"Plzeňský","Rokycany","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",61,12664,0.48
"Středočeský","Říčany","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",42,20197,0.21
"Středočeský","Sedlčany","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",11,5722,0.19
"Středočeský","Slaný","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",31,9659,0.32
"Plzeňský","Stod","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",15,5288,0.28
"Plzeňský","Stříbro","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",16,3881,0.41
"Plzeňský","Sušice","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",22,6204,0.35
"Plzeňský","Tachov","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",30,7375,0.41
"Středočeský","Vlašim","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",15,7147,0.21
"Středočeský","Votice","ČISTÝ A BEZPEČNÝ KRAJ","NDDSSSBEZULANS","",9,3174,0.28
"Vysočina","Bystřice nad Pernštejnem","Nezávislá kandidátka","NeKa","",63,5396,1.17
"Vysočina","Havlíčkův Brod","Nezávislá kandidátka","NeKa","",36,14196,0.25
"Vysočina","Humpolec","Nezávislá kandidátka","NeKa","",15,5011,0.3
"Vysočina","Chotěboř","Nezávislá kandidátka","NeKa","",10,6388,0.16
"Vysočina","Jihlava","Nezávislá kandidátka","NeKa","",89,28667,0.31
"Vysočina","Moravské Budějovice","Nezávislá kandidátka","NeKa","",9,6498,0.14
"Vysočina","Náměšť nad Oslavou","Nezávislá kandidátka","NeKa","",11,3649,0.3
"Vysočina","Nové Město na Moravě","Nezávislá kandidátka","NeKa","",17,5694,0.3
"Vysočina","Pacov","Nezávislá kandidátka","NeKa","",5,2895,0.17
"Vysočina","Pelhřimov","Nezávislá kandidátka","NeKa","",40,13237,0.3
"Vysočina","Světlá nad Sázavou","Nezávislá kandidátka","NeKa","",14,5435,0.26
"Vysočina","Telč","Nezávislá kandidátka","NeKa","",7,4011,0.17
"Vysočina","Třebíč","Nezávislá kandidátka","NeKa","",76,20732,0.37
"Vysočina","Velké Meziříčí","Nezávislá kandidátka","NeKa","",147,10139,1.45
"Vysočina","Žďár nad Sázavou","Nezávislá kandidátka","NeKa","",61,11552,0.53
"Jihočeský","Blatná","Jihočeská veřejnost","NEZ+DV 2016","",24,3774,0.64
"Jihočeský","České Budějovice","Jihočeská veřejnost","NEZ+DV 2016","",191,50390,0.38
"Jihočeský","Český Krumlov","Jihočeská veřejnost","NEZ+DV 2016","",68,10721,0.63
"Jihočeský","Dačice","Jihočeská veřejnost","NEZ+DV 2016","",69,5474,1.26
"Jihočeský","Jindřichův Hradec","Jihočeská veřejnost","NEZ+DV 2016","",552,13241,4.17
"Jihočeský","Kaplice","Jihočeská veřejnost","NEZ+DV 2016","",16,4795,0.33
"Jihočeský","Milevsko","Jihočeská veřejnost","NEZ+DV 2016","",35,5389,0.65
"Jihočeský","Písek","Jihočeská veřejnost","NEZ+DV 2016","",256,14460,1.77
"Jihočeský","Prachatice","Jihočeská veřejnost","NEZ+DV 2016","",185,9004,2.05
"Jihočeský","Soběslav","Jihočeská veřejnost","NEZ+DV 2016","",85,6781,1.25
"Jihočeský","Strakonice","Jihočeská veřejnost","NEZ+DV 2016","",102,12114,0.84
"Jihočeský","Tábor","Jihočeská veřejnost","NEZ+DV 2016","",93,23228,0.4
"Jihočeský","Trhové Sviny","Jihočeská veřejnost","NEZ+DV 2016","",24,5939,0.4
"Jihočeský","Třeboň","Jihočeská veřejnost","NEZ+DV 2016","",30,6902,0.43
"Jihočeský","Týn nad Vltavou","Jihočeská veřejnost","NEZ+DV 2016","",46,4048,1.14
"Jihočeský","Vimperk","Jihočeská veřejnost","NEZ+DV 2016","",17,4368,0.39
"Jihočeský","Vodňany","Jihočeská veřejnost","NEZ+DV 2016","",20,3279,0.61
"Zlínský","Bystřice pod Hostýnem","Nezávislý HLAS pro Zlínský kraj","NEZ+Svobo+Soukr","",205,4089,5.01
"Zlínský","Holešov","Nezávislý HLAS pro Zlínský kraj","NEZ+Svobo+Soukr","",149,5722,2.6
"Zlínský","Kroměříž","Nezávislý HLAS pro Zlínský kraj","NEZ+Svobo+Soukr","",248,18367,1.35
"Zlínský","Luhačovice","Nezávislý HLAS pro Zlínský kraj","NEZ+Svobo+Soukr","",142,5303,2.68
"Zlínský","Otrokovice","Nezávislý HLAS pro Zlínský kraj","NEZ+Svobo+Soukr","",203,8319,2.44
"Zlínský","Rožnov pod Radhoštěm","Nezávislý HLAS pro Zlínský kraj","NEZ+Svobo+Soukr","",96,8633,1.11
"Zlínský","Uherské Hradiště","Nezávislý HLAS pro Zlínský kraj","NEZ+Svobo+Soukr","",1074,24518,4.38
"Zlínský","Uherský Brod","Nezávislý HLAS pro Zlínský kraj","NEZ+Svobo+Soukr","",363,13102,2.77
"Zlínský","Valašské Klobouky","Nezávislý HLAS pro Zlínský kraj","NEZ+Svobo+Soukr","",122,5920,2.06
"Zlínský","Valašské Meziříčí","Nezávislý HLAS pro Zlínský kraj","NEZ+Svobo+Soukr","",179,10761,1.66
"Zlínský","Vizovice","Nezávislý HLAS pro Zlínský kraj","NEZ+Svobo+Soukr","",88,4598,1.91
"Zlínský","Vsetín","Nezávislý HLAS pro Zlínský kraj","NEZ+Svobo+Soukr","",265,16315,1.62
"Zlínský","Zlín","Nezávislý HLAS pro Zlínský kraj","NEZ+Svobo+Soukr","",631,29612,2.13
"Jihomoravský","Blansko","Nový směr","NOS","",5,15996,0.03
"Jihomoravský","Boskovice","Nový směr","NOS","",7,14994,0.05
"Jihomoravský","Brno","Nový směr","NOS","",26,103518,0.03
"Jihomoravský","Břeclav","Nový směr","NOS","",32,15174,0.21
"Jihomoravský","Hodonín","Nový směr","NOS","",49,14897,0.33
"Jihomoravský","Hustopeče","Nový směr","NOS","",15,10479,0.14
"Jihomoravský","Ivančice","Nový směr","NOS","",3,6380,0.05
"Jihomoravský","Kuřim","Nový směr","NOS","",3,7224,0.04
"Jihomoravský","Kyjov","Nový směr","NOS","",13,15491,0.08
"Jihomoravský","Mikulov","Nový směr","NOS","",3,4929,0.06
"Jihomoravský","Moravský Krumlov","Nový směr","NOS","",4,6472,0.06
"Jihomoravský","Pohořelice","Nový směr","NOS","",1,4275,0.02
"Jihomoravský","Rosice","Nový směr","NOS","",8,7165,0.11
"Jihomoravský","Slavkov u Brna","Nový směr","NOS","",1,6866,0.01
"Jihomoravský","Šlapanice","Nový směr","NOS","",5,22246,0.02
"Jihomoravský","Tišnov","Nový směr","NOS","",5,9650,0.05
"Jihomoravský","Veselí nad Moravou","Nový směr","NOS","",6,10005,0.06
"Jihomoravský","Vyškov","Nový směr","NOS","",3,14083,0.02
"Jihomoravský","Znojmo","Nový směr","NOS","",15,24160,0.06
"Jihomoravský","Židlochovice","Nový směr","NOS","",3,9874,0.03
"Zlínský","Bystřice pod Hostýnem","Právo Respekt Odbornost","PRO 2022","",74,4089,1.81
"Liberecký","Česká Lípa","Právo Respekt Odbornost","PRO 2022","",252,16809,1.5
"Liberecký","Frýdlant","Právo Respekt Odbornost","PRO 2022","",62,6353,0.98
"Zlínský","Holešov","Právo Respekt Odbornost","PRO 2022","",108,5722,1.89
"Liberecký","Jablonec nad Nisou","Právo Respekt Odbornost","PRO 2022","",290,14029,2.07
"Liberecký","Jilemnice","Právo Respekt Odbornost","PRO 2022","",75,6349,1.18
"Zlínský","Kroměříž","Právo Respekt Odbornost","PRO 2022","",391,18367,2.13
"Liberecký","Liberec","Právo Respekt Odbornost","PRO 2022","",472,38413,1.23
"Zlínský","Luhačovice","Právo Respekt Odbornost","PRO 2022","",56,5303,1.06
"Liberecký","Nový Bor","Právo Respekt Odbornost","PRO 2022","",81,6598,1.23
"Zlínský","Otrokovice","Právo Respekt Odbornost","PRO 2022","",197,8319,2.37
"Zlínský","Rožnov pod Radhoštěm","Právo Respekt Odbornost","PRO 2022","",108,8633,1.25
"Liberecký","Semily","Právo Respekt Odbornost","PRO 2022","",93,7119,1.31
"Liberecký","Tanvald","Právo Respekt Odbornost","PRO 2022","",96,4731,2.03
"Liberecký","Turnov","Právo Respekt Odbornost","PRO 2022","",90,9736,0.92
"Zlínský","Uherské Hradiště","Právo Respekt Odbornost","PRO 2022","",306,24518,1.25
"Zlínský","Uherský Brod","Právo Respekt Odbornost","PRO 2022","",312,13102,2.38
"Zlínský","Valašské Klobouky","Právo Respekt Odbornost","PRO 2022","",55,5920,0.93
"Zlínský","Valašské Meziříčí","Právo Respekt Odbornost","PRO 2022","",109,10761,1.01
"Zlínský","Vizovice","Právo Respekt Odbornost","PRO 2022","",62,4598,1.35
"Zlínský","Vsetín","Právo Respekt Odbornost","PRO 2022","",154,16315,0.94
"Zlínský","Zlín","Právo Respekt Odbornost","PRO 2022","",451,29612,1.52
"Liberecký","Železný Brod","Právo Respekt Odbornost","PRO 2022","",65,3426,1.9
"Karlovarský","Aš","Správná Volba PRO kraj","PRO2022+SpV","",25,3403,0.73
"Karlovarský","Cheb","Správná Volba PRO kraj","PRO2022+SpV","",206,10053,2.05
"Karlovarský","Karlovy Vary","Správná Volba PRO kraj","PRO2022+SpV","",359,21791,1.65
"Karlovarský","Kraslice","Správná Volba PRO kraj","PRO2022+SpV","",32,3076,1.04
"Karlovarský","Mariánské Lázně","Správná Volba PRO kraj","PRO2022+SpV","",101,5492,1.84
"Karlovarský","Ostrov","Správná Volba PRO kraj","PRO2022+SpV","",83,6684,1.24
"Karlovarský","Sokolov","Správná Volba PRO kraj","PRO2022+SpV","",224,16499,1.36
"Karlovarský","Aš","PŘÍSAHA občanské hnutí","PŘÍSAHA","",30,3403,0.88
"Středočeský","Benešov","PŘÍSAHA občanské hnutí","PŘÍSAHA","",392,16452,2.38
"Středočeský","Beroun","PŘÍSAHA občanské hnutí","PŘÍSAHA","",363,16332,2.22
"Ústecký","Bílina","PŘÍSAHA občanské hnutí","PŘÍSAHA","",33,3604,0.92
"Moravskoslezský","Bílovec","PŘÍSAHA občanské hnutí","PŘÍSAHA","",144,6541,2.2
"Jihomoravský","Blansko","PŘÍSAHA občanské hnutí","PŘÍSAHA","",643,15996,4.02
"Jihočeský","Blatná","PŘÍSAHA občanské hnutí","PŘÍSAHA","",49,3774,1.3
"Plzeňský","Blovice","PŘÍSAHA občanské hnutí","PŘÍSAHA","",77,3514,2.19
"Moravskoslezský","Bohumín","PŘÍSAHA občanské hnutí","PŘÍSAHA","",119,7426,1.6
"Jihomoravský","Boskovice","PŘÍSAHA občanské hnutí","PŘÍSAHA","",503,14994,3.35
"Středočeský","Brandýs nad Labem-Stará Boleslav","PŘÍSAHA občanské hnutí","PŘÍSAHA","",616,28083,2.19
"Jihomoravský","Brno","PŘÍSAHA občanské hnutí","PŘÍSAHA","",3848,103518,3.72
"Moravskoslezský","Bruntál","PŘÍSAHA občanské hnutí","PŘÍSAHA","",89,8174,1.09
"Jihomoravský","Břeclav","PŘÍSAHA občanské hnutí","PŘÍSAHA","",771,15174,5.08
"Jihomoravský","Bučovice","PŘÍSAHA občanské hnutí","PŘÍSAHA","",109,4474,2.44
"Vysočina","Bystřice nad Pernštejnem","PŘÍSAHA občanské hnutí","PŘÍSAHA","",127,5396,2.35
"Středočeský","Čáslav","PŘÍSAHA občanské hnutí","PŘÍSAHA","",117,6759,1.73
"Středočeský","Černošice","PŘÍSAHA občanské hnutí","PŘÍSAHA","",746,39906,1.87
"Liberecký","Česká Lípa","PŘÍSAHA občanské hnutí","PŘÍSAHA","",433,16809,2.58
"Jihočeský","České Budějovice","PŘÍSAHA občanské hnutí","PŘÍSAHA","",516,50390,1.02
"Středočeský","Český Brod","PŘÍSAHA občanské hnutí","PŘÍSAHA","",169,4761,3.55
"Jihočeský","Český Krumlov","PŘÍSAHA občanské hnutí","PŘÍSAHA","",82,10721,0.76
"Moravskoslezský","Český Těšín","PŘÍSAHA občanské hnutí","PŘÍSAHA","",117,5560,2.1
"Jihočeský","Dačice","PŘÍSAHA občanské hnutí","PŘÍSAHA","",92,5474,1.68
"Ústecký","Děčín","PŘÍSAHA občanské hnutí","PŘÍSAHA","",310,18150,1.71
"Středočeský","Dobříš","PŘÍSAHA občanské hnutí","PŘÍSAHA","",128,6323,2.02
"Plzeňský","Domažlice","PŘÍSAHA občanské hnutí","PŘÍSAHA","",194,9747,1.99
"Moravskoslezský","Frenštát pod Radhoštěm","PŘÍSAHA občanské hnutí","PŘÍSAHA","",97,4916,1.97
"Moravskoslezský","Frýdek-Místek","PŘÍSAHA občanské hnutí","PŘÍSAHA","",1013,28795,3.52
"Liberecký","Frýdlant","PŘÍSAHA občanské hnutí","PŘÍSAHA","",251,6353,3.95
"Moravskoslezský","Frýdlant nad Ostravicí","PŘÍSAHA občanské hnutí","PŘÍSAHA","",252,7081,3.56
"Moravskoslezský","Havířov","PŘÍSAHA občanské hnutí","PŘÍSAHA","",408,19353,2.11
"Vysočina","Havlíčkův Brod","PŘÍSAHA občanské hnutí","PŘÍSAHA","",447,14196,3.15
"Moravskoslezský","Hlučín","PŘÍSAHA občanské hnutí","PŘÍSAHA","",166,11357,1.46
"Jihomoravský","Hodonín","PŘÍSAHA občanské hnutí","PŘÍSAHA","",401,14897,2.69
"Plzeňský","Horažďovice","PŘÍSAHA občanské hnutí","PŘÍSAHA","",71,3124,2.27
"Plzeňský","Horšovský Týn","PŘÍSAHA občanské hnutí","PŘÍSAHA","",86,3348,2.57
"Středočeský","Hořovice","PŘÍSAHA občanské hnutí","PŘÍSAHA","",190,7715,2.46
"Olomoucký","Hranice","PŘÍSAHA občanské hnutí","PŘÍSAHA","",231,8488,2.72
"Vysočina","Humpolec","PŘÍSAHA občanské hnutí","PŘÍSAHA","",167,5011,3.33
"Jihomoravský","Hustopeče","PŘÍSAHA občanské hnutí","PŘÍSAHA","",555,10479,5.3
"Karlovarský","Cheb","PŘÍSAHA občanské hnutí","PŘÍSAHA","",147,10053,1.46
"Ústecký","Chomutov","PŘÍSAHA občanské hnutí","PŘÍSAHA","",281,15030,1.87
"Vysočina","Chotěboř","PŘÍSAHA občanské hnutí","PŘÍSAHA","",123,6388,1.93
"Jihomoravský","Ivančice","PŘÍSAHA občanské hnutí","PŘÍSAHA","",325,6380,5.09
"Liberecký","Jablonec nad Nisou","PŘÍSAHA občanské hnutí","PŘÍSAHA","",386,14029,2.75
"Moravskoslezský","Jablunkov","PŘÍSAHA občanské hnutí","PŘÍSAHA","",92,4680,1.97
"Olomoucký","Jeseník","PŘÍSAHA občanské hnutí","PŘÍSAHA","",95,6981,1.36
"Vysočina","Jihlava","PŘÍSAHA občanské hnutí","PŘÍSAHA","",944,28667,3.29
"Liberecký","Jilemnice","PŘÍSAHA občanské hnutí","PŘÍSAHA","",142,6349,2.24
"Jihočeský","Jindřichův Hradec","PŘÍSAHA občanské hnutí","PŘÍSAHA","",136,13241,1.03
"Ústecký","Kadaň","PŘÍSAHA občanské hnutí","PŘÍSAHA","",141,7861,1.79
"Jihočeský","Kaplice","PŘÍSAHA občanské hnutí","PŘÍSAHA","",52,4795,1.08
"Karlovarský","Karlovy Vary","PŘÍSAHA občanské hnutí","PŘÍSAHA","",303,21791,1.39
"Moravskoslezský","Karviná","PŘÍSAHA občanské hnutí","PŘÍSAHA","",349,13034,2.68
"Středočeský","Kladno","PŘÍSAHA občanské hnutí","PŘÍSAHA","",973,28190,3.45
"Plzeňský","Klatovy","PŘÍSAHA občanské hnutí","PŘÍSAHA","",390,12494,3.12
"Středočeský","Kolín","PŘÍSAHA občanské hnutí","PŘÍSAHA","",496,20750,2.39
"Olomoucký","Konice","PŘÍSAHA občanské hnutí","PŘÍSAHA","",198,3417,5.79
