"KRAJ","ORP","STRANA","ZKRATKA","BLOK","HLASYABS","HLASYOBEC","HLASYPROC"
"Liberecký","Frýdlant","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",17,6353,0.27
"Moravskoslezský","Frýdlant nad Ostravicí","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",17,7081,0.24
"Moravskoslezský","Havířov","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",75,19353,0.39
"Vysočina","Havlíčkův Brod","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",46,14196,0.32
"Pardubický","Hlinsko","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",21,6387,0.33
"Moravskoslezský","Hlučín","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",40,11357,0.35
"Jihomoravský","Hodonín","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",26,14897,0.17
"Zlínský","Holešov","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",21,5722,0.37
"Pardubický","Holice","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",22,4632,0.47
"Plzeňský","Horažďovice","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",31,3124,0.99
"Plzeňský","Horšovský Týn","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",52,3348,1.55
"Královéhradecký","Hořice","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",31,5089,0.61
"Středočeský","Hořovice","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",28,7715,0.36
"Královéhradecký","Hradec Králové","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",194,40522,0.48
"Olomoucký","Hranice","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",40,8488,0.47
"Vysočina","Humpolec","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",31,5011,0.62
"Jihomoravský","Hustopeče","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",24,10479,0.23
"Karlovarský","Cheb","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",43,10053,0.43
"Ústecký","Chomutov","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",67,15030,0.45
"Vysočina","Chotěboř","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",26,6388,0.41
"Pardubický","Chrudim","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",109,22307,0.49
"Jihomoravský","Ivančice","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",16,6380,0.25
"Liberecký","Jablonec nad Nisou","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",53,14029,0.38
"Moravskoslezský","Jablunkov","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",14,4680,0.3
"Královéhradecký","Jaroměř","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",43,4990,0.86
"Olomoucký","Jeseník","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",27,6981,0.39
"Královéhradecký","Jičín","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",104,12934,0.8
"Vysočina","Jihlava","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",119,28667,0.42
"Liberecký","Jilemnice","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",21,6349,0.33
"Jihočeský","Jindřichův Hradec","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",55,13241,0.42
"Ústecký","Kadaň","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",35,7861,0.45
"Jihočeský","Kaplice","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",15,4795,0.31
"Karlovarský","Karlovy Vary","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",94,21791,0.43
"Moravskoslezský","Karviná","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",42,13034,0.32
"Středočeský","Kladno","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",133,28190,0.47
"Plzeňský","Klatovy","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",92,12494,0.74
"Středočeský","Kolín","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",96,20750,0.46
"Olomoucký","Konice","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",27,3417,0.79
"Moravskoslezský","Kopřivnice","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",51,10615,0.48
"Královéhradecký","Kostelec nad Orlicí","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",21,6264,0.34
"Pardubický","Králíky","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",7,2068,0.34
"Plzeňský","Kralovice","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",42,6254,0.67
"Středočeský","Kralupy nad Vltavou","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",30,7494,0.4
"Karlovarský","Kraslice","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",8,3076,0.26
"Moravskoslezský","Kravaře","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",21,5794,0.36
"Moravskoslezský","Krnov","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",21,6551,0.32
"Zlínský","Kroměříž","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",96,18367,0.52
"Jihomoravský","Kuřim","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",18,7224,0.25
"Středočeský","Kutná Hora","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",72,12894,0.56
"Jihomoravský","Kyjov","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",28,15491,0.18
"Pardubický","Lanškroun","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",21,5834,0.36
"Liberecký","Liberec","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",141,38413,0.37
"Olomoucký","Lipník nad Bečvou","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",24,3769,0.64
"Ústecký","Litoměřice","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",87,14526,0.6
"Pardubický","Litomyšl","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",32,8056,0.4
