vol_24,ob_24,odob_24,plhl_24,vol_20,ob_20,odob_20,plhl_20,nazev,okres,kraj
164,51,51,51,162,75,75,74,Vysoký Újezd,Benešov,Středočeský kraj
12734,4340,4331,4258,13044,5661,5660,5590,Benešov,Benešov,Středočeský kraj
3542,1223,1223,1203,3472,1424,1424,1404,Bystřice,Benešov,Středočeský kraj
100,49,48,48,99,48,48,47,Čakov,Benešov,Středočeský kraj
1135,432,432,426,1126,467,467,462,Čechtice,Benešov,Středočeský kraj
0,0,0,0,2181,990,990,981,Čerčany,Benešov,Středočeský kraj
272,114,114,113,269,126,126,125,Červený Újezd,Benešov,Středočeský kraj
125,45,45,44,124,55,55,53,Český Šternberk,Benešov,Středočeský kraj
598,266,266,265,532,302,302,300,Čtyřkoly,Benešov,Středočeský kraj
277,113,113,111,1310,495,495,490,Divišov,Benešov,Středočeský kraj
724,253,253,253,714,269,269,268,Dolní Kralovice,Benešov,Středočeský kraj
593,205,205,199,569,189,189,186,Heřmaničky,Benešov,Středočeský kraj
238,78,78,77,238,108,108,107,Hulice,Benešov,Středočeský kraj
257,84,84,84,271,114,114,112,Hvězdonice,Benešov,Středočeský kraj
111,62,62,62,111,55,55,54,Chlum,Benešov,Středočeský kraj
122,64,64,63,119,72,72,72,Chmelná,Benešov,Středočeský kraj
1003,392,392,385,958,437,437,431,Chocerady,Benešov,Středočeský kraj
494,172,172,167,450,186,186,183,Chotýšany,Benešov,Středočeský kraj
723,239,239,236,714,261,261,259,Jankov,Benešov,Středočeský kraj
117,65,65,65,106,60,60,59,Javorník,Benešov,Středočeský kraj
150,69,69,69,156,53,53,52,Keblov,Benešov,Středočeský kraj
402,161,161,161,399,184,184,183,Kondrac,Benešov,Středočeský kraj
300,101,101,100,252,127,127,125,Kozmice,Benešov,Středočeský kraj
809,326,326,316,780,378,378,371,Krhanice,Benešov,Středočeský kraj
395,127,127,125,369,135,135,135,Krňany,Benešov,Středočeský kraj
644,222,222,221,642,267,267,266,Křečovice,Benešov,Středočeský kraj
364,137,137,136,342,134,134,134,Křivsoudov,Benešov,Středočeský kraj
67,41,41,40,66,34,34,34,Kuňovice,Benešov,Středočeský kraj
633,163,163,160,620,227,227,226,Lešany,Benešov,Středočeský kraj
183,64,64,64,167,64,64,63,Libež,Benešov,Středočeský kraj
482,210,210,208,462,212,212,211,Loket,Benešov,Středočeský kraj
0,0,0,0,547,230,230,224,Louňovice pod Blaníkem,Benešov,Středočeský kraj
623,235,235,234,606,268,268,267,Maršovice,Benešov,Středočeský kraj
299,117,117,116,290,118,118,117,Mezno,Benešov,Středočeský kraj
728,240,240,238,696,249,249,247,Miličín,Benešov,Středočeský kraj
183,70,70,69,156,75,75,75,Miřetice,Benešov,Středočeský kraj
180,87,87,85,183,84,84,83,Mnichovice,Benešov,Středočeský kraj
670,258,258,256,654,308,308,303,Mrač,Benešov,Středočeský kraj
869,225,225,224,861,252,252,249,Načeradec,Benešov,Středočeský kraj
174,75,75,73,573,315,315,307,Nespeky,Benešov,Středočeský kraj
892,256,254,245,909,348,348,346,Netvořice,Benešov,Středočeský kraj
426,142,142,139,424,165,165,164,Neustupov,Benešov,Středočeský kraj
1360,420,420,414,2077,781,781,771,Neveklov,Benešov,Středočeský kraj
