vol_24,ob_24,odob_24,plhl_24,vol_20,ob_20,odob_20,plhl_20,nazev,okres,kraj
1071,347,347,344,1016,396,396,394,Olbramovice,Benešov,Středočeský kraj
333,125,125,125,296,147,147,147,Ostředek,Benešov,Středočeský kraj
256,99,99,97,244,107,107,106,Petroupim,Benešov,Středočeský kraj
1135,400,400,393,1052,464,464,458,Poříčí nad Sázavou,Benešov,Středočeský kraj
1079,348,346,341,1055,397,397,392,Postupice,Benešov,Středočeský kraj
465,164,164,162,459,167,167,166,Pravonín,Benešov,Středočeský kraj
322,93,93,91,307,150,150,149,Přestavlky u Čerčan,Benešov,Středočeský kraj
115,43,43,43,115,42,42,42,Psáře,Benešov,Středočeský kraj
228,79,79,78,234,96,96,95,Rabyně,Benešov,Středočeský kraj
301,114,114,114,302,126,126,126,Radošovice,Benešov,Středočeský kraj
141,59,59,59,138,78,78,75,Rataje,Benešov,Středočeský kraj
217,83,83,83,229,74,74,74,Smilkov,Benešov,Středočeský kraj
328,121,121,120,306,145,145,144,Soběhrdy,Benešov,Středočeský kraj
761,295,295,294,711,315,315,314,Struhařov,Benešov,Středočeský kraj
251,87,87,87,265,119,119,118,Střezimíř,Benešov,Středočeský kraj
88,46,46,46,83,37,37,37,Studený,Benešov,Středočeský kraj
178,90,90,89,178,92,92,91,Bílkovice,Benešov,Středočeský kraj
270,89,89,89,258,110,110,109,Tehov,Benešov,Středočeský kraj
394,135,135,134,400,195,195,194,Teplýšovice,Benešov,Středočeský kraj
168,73,73,72,169,76,76,75,Tichonice,Benešov,Středočeský kraj
1034,326,326,322,1043,399,399,394,Trhový Štěpánov,Benešov,Středočeský kraj
4525,1546,1544,1520,4498,1873,1873,1858,Týnec nad Sázavou,Benešov,Středočeský kraj
283,98,98,98,269,103,103,102,Veliš,Benešov,Středočeský kraj
8974,2721,2720,2704,9341,3328,3328,3295,Vlašim,Benešov,Středočeský kraj
392,125,125,125,398,129,129,129,Vojkov,Benešov,Středočeský kraj
3584,1061,1061,1051,3593,1259,1259,1250,Votice,Benešov,Středočeský kraj
318,124,124,123,320,116,116,115,Vracovice,Benešov,Středočeský kraj
355,151,151,149,342,180,180,178,Vranov,Benešov,Středočeský kraj
816,238,238,234,779,231,230,225,Vrchotovy Janovice,Benešov,Středočeský kraj
419,152,152,151,441,164,164,163,Zdislavice,Benešov,Středočeský kraj
131,54,54,54,119,47,47,46,Kamberk,Benešov,Středočeský kraj
344,119,119,118,315,126,126,126,Zvěstov,Benešov,Středočeský kraj
195,77,76,75,185,90,90,89,Chrášťany,Benešov,Středočeský kraj
344,132,130,128,311,185,185,183,Chlístov,Benešov,Středočeský kraj
475,158,157,151,471,202,201,199,Václavice,Benešov,Středočeský kraj
67,45,45,45,67,36,36,36,Borovnice,Benešov,Středočeský kraj
99,32,32,32,104,37,37,36,Ješetice,Benešov,Středočeský kraj
83,35,34,33,71,44,44,44,Drahňovice,Benešov,Středočeský kraj
351,124,124,124,340,172,172,168,Lštění,Benešov,Středočeský kraj
33,15,15,15,27,18,18,18,Slověnice,Benešov,Středočeský kraj
54,25,25,24,55,32,32,32,Litichovice,Benešov,Středočeský kraj
95,46,46,46,79,36,36,36,Všechlapy,Benešov,Středočeský kraj
86,46,45,43,81,47,47,47,Třebešice,Benešov,Středočeský kraj
87,49,49,49,89,53,53,53,Blažejovice,Benešov,Středočeský kraj
69,30,30,30,83,45,45,45,Snět,Benešov,Středočeský kraj
55,34,34,33,47,21,21,21,Šetějovice,Benešov,Středočeský kraj
105,38,38,36,103,47,47,46,Tomice,Benešov,Středočeský kraj
228,59,59,59,231,109,109,107,Ratměřice,Benešov,Středočeský kraj
179,90,90,90,182,94,94,92,Bernartice,Benešov,Středočeský kraj
179,73,72,70,189,81,81,81,Tisem,Benešov,Středočeský kraj
54,25,25,25,59,33,33,32,Choratice,Benešov,Středočeský kraj
82,35,35,35,84,44,44,44,Vodslivy,Benešov,Středočeský kraj
238,89,88,88,233,100,100,100,Popovice,Benešov,Středočeský kraj
120,52,52,51,112,52,52,52,Ctiboř,Benešov,Středočeský kraj
48,25,25,25,46,25,25,25,Děkanovice,Benešov,Středočeský kraj
56,22,22,20,52,28,28,28,Dunice,Benešov,Středočeský kraj
40,12,12,12,44,21,21,21,Chleby,Benešov,Středočeský kraj
156,61,61,59,145,78,78,77,Chářovice,Benešov,Středočeský kraj
609,198,198,196,586,241,241,237,Bukovany,Benešov,Středočeský kraj
27,17,17,15,24,13,13,12,Hradiště,Benešov,Středočeský kraj
176,51,51,51,177,58,58,58,Řimovice,Benešov,Středočeský kraj
206,77,77,77,184,93,93,92,Pavlovice,Benešov,Středočeský kraj
209,74,74,74,204,87,87,87,Kladruby,Benešov,Středočeský kraj
3007,886,885,874,3017,1142,1141,1122,Sázava,Benešov,Středočeský kraj
1623,663,663,655,1494,766,766,762,Pyšely,Benešov,Středočeský kraj
411,136,136,132,370,156,156,155,Řehenice,Benešov,Středočeský kraj
50,20,20,20,47,22,22,22,Xaverov,Benešov,Středočeský kraj
111,41,41,41,110,57,57,57,Strojetice,Benešov,Středočeský kraj
92,45,44,44,89,40,39,39,Stranný,Benešov,Středočeský kraj
212,82,82,80,205,71,71,71,Soutice,Benešov,Středočeský kraj
62,27,27,26,54,30,30,30,Ostrov,Benešov,Středočeský kraj
15012,4561,4561,4527,14782,5798,5796,5711,Beroun,Beroun,Středočeský kraj
269,86,86,86,257,92,92,91,Běštín,Beroun,Středočeský kraj
771,288,288,284,763,327,327,327,Broumy,Beroun,Středočeský kraj
266,70,70,69,251,93,93,93,Březová,Beroun,Středočeský kraj
412,143,143,142,405,200,200,200,Bubovice,Beroun,Středočeský kraj
381,110,110,108,372,122,122,120,Bzová,Beroun,Středočeský kraj
901,273,273,272,887,351,351,347,Cerhovice,Beroun,Středočeský kraj
593,211,211,209,597,303,303,299,Drozdov,Beroun,Středočeský kraj
238,111,111,110,213,124,124,124,Felbabka,Beroun,Středočeský kraj
908,429,429,428,806,491,491,487,Hlásná Třebaň,Beroun,Středočeský kraj
5014,1676,1676,1653,5140,1775,1775,1758,Hořovice,Beroun,Středočeský kraj
1387,404,404,399,1349,487,487,484,Hostomice,Beroun,Středočeský kraj
321,140,140,139,310,139,139,138,Hředle,Beroun,Středočeský kraj
992,327,327,323,983,417,417,407,Hudlice,Beroun,Středočeský kraj
211,79,79,79,210,109,109,108,Hvozdec,Beroun,Středočeský kraj
1602,559,558,554,1480,643,643,637,Hýskov,Beroun,Středočeský kraj
424,135,135,134,407,190,190,190,Chaloupky,Beroun,Středočeský kraj
1511,454,454,449,1510,587,587,580,Chyňava,Beroun,Středočeský kraj
146,65,65,63,147,61,61,61,Jivina,Beroun,Středočeský kraj
640,239,239,234,669,318,318,316,Karlštejn,Beroun,Středočeský kraj
1904,558,558,545,1918,683,683,678,Komárov,Beroun,Středočeský kraj
206,96,96,93,202,103,103,102,Koněprusy,Beroun,Středočeský kraj
520,219,218,214,520,205,205,199,Kublov,Beroun,Středočeský kraj
449,126,126,125,430,185,185,184,Libomyšl,Beroun,Středočeský kraj
939,310,310,309,909,326,326,322,Liteň,Beroun,Středočeský kraj
1376,426,425,420,1378,556,556,552,Loděnice,Beroun,Středočeský kraj
1010,274,274,270,989,350,350,344,Lochovice,Beroun,Středočeský kraj
241,70,70,70,239,63,63,62,Měňany,Beroun,Středočeský kraj
464,186,186,186,452,240,240,239,Mezouň,Beroun,Středočeský kraj
637,166,166,165,628,277,277,277,Mořina,Beroun,Středočeský kraj
452,130,130,129,449,152,152,148,Neumětely,Beroun,Středočeský kraj
1658,533,533,526,1635,687,687,683,Nižbor,Beroun,Středočeský kraj
603,201,201,199,538,212,212,210,Nový Jáchymov,Beroun,Středočeský kraj
373,127,127,126,349,148,148,146,Olešná,Beroun,Středočeský kraj
662,221,221,218,648,268,268,265,Osek,Beroun,Středočeský kraj
271,113,113,112,271,130,130,130,Osov,Beroun,Středočeský kraj
396,153,153,152,397,163,163,162,Otročiněves,Beroun,Středočeský kraj
539,204,204,200,527,223,223,218,Podluhy,Beroun,Středočeský kraj
682,276,276,272,692,277,277,274,Praskolesy,Beroun,Středočeský kraj
395,143,143,142,396,157,157,157,Rpety,Beroun,Středočeský kraj
453,154,154,153,416,189,189,189,Skuhrov,Beroun,Středočeský kraj
412,165,165,164,433,192,191,188,Srbsko,Beroun,Středočeský kraj
368,152,152,150,363,125,125,124,Stašov,Beroun,Středočeský kraj
415,136,136,136,391,130,130,128,Suchomasty,Beroun,Středočeský kraj
408,153,153,149,388,172,172,170,Svatá,Beroun,Středočeský kraj
151,66,66,66,134,70,70,70,Svatý Jan pod Skalou,Beroun,Středočeský kraj
661,291,291,286,571,313,313,309,Svinaře,Beroun,Středočeský kraj
666,233,233,231,687,339,339,334,Tetín,Beroun,Středočeský kraj
759,281,281,281,759,297,296,292,Tlustice,Beroun,Středočeský kraj
955,284,284,279,946,358,358,353,Tmaň,Beroun,Středočeský kraj
157,59,59,59,150,80,80,80,Trubská,Beroun,Středočeský kraj
526,214,213,210,531,248,248,242,Újezd,Beroun,Středočeský kraj
349,96,95,93,339,123,123,119,Velký Chlumec,Beroun,Středočeský kraj
950,293,293,286,935,384,384,381,Vráž,Beroun,Středočeský kraj
359,143,143,143,340,161,161,159,Všeradice,Beroun,Středočeský kraj
1158,351,351,347,777,347,347,344,Vysoký Újezd,Beroun,Středočeský kraj
0,0,0,0,711,391,391,391,Zadní Třebaň,Beroun,Středočeský kraj
1194,372,371,366,1168,507,507,504,Zaječov,Beroun,Středočeský kraj
387,123,123,119,402,130,130,127,Záluží,Beroun,Středočeský kraj
3141,969,968,958,3178,1164,1161,1156,Zdice,Beroun,Středočeský kraj
1656,578,577,567,1676,685,685,677,Žebrák,Beroun,Středočeský kraj
413,151,151,150,377,166,166,164,Trubín,Beroun,Středočeský kraj
7104,1982,1982,1964,6733,2527,2526,2496,Králův Dvůr,Beroun,Středočeský kraj
89,41,41,41,88,31,31,28,Malá Víska,Beroun,Středočeský kraj
285,106,106,105,277,89,89,87,Lhotka,Beroun,Středočeský kraj
242,110,110,110,206,100,100,95,Nenačovice,Beroun,Středočeský kraj
764,275,275,274,717,340,340,332,Chrustenice,Beroun,Středočeský kraj
89,50,50,50,98,60,60,60,Korno,Beroun,Středočeský kraj
132,70,70,69,134,77,77,77,Mořinka,Beroun,Středočeský kraj
90,35,35,35,82,34,34,34,Lážovice,Beroun,Středočeský kraj
104,43,43,43,107,41,41,41,Skřipel,Beroun,Středočeský kraj
230,113,113,109,221,102,102,101,Vižina,Beroun,Středočeský kraj
252,95,95,94,248,101,101,98,Kotopeky,Beroun,Středočeský kraj
146,62,62,62,138,50,50,48,Otmíče,Beroun,Středočeský kraj
195,74,74,74,182,78,78,78,Bykoš,Beroun,Středočeský kraj
98,38,38,37,87,38,38,38,Málkov,Beroun,Středočeský kraj
77,34,34,34,80,45,45,45,Vinařice,Beroun,Středočeský kraj
137,74,74,74,131,80,80,80,Nesvačily,Beroun,Středočeský kraj
188,85,85,85,178,81,81,79,Podbrdy,Beroun,Středočeský kraj
106,42,42,42,90,34,34,34,Lužce,Beroun,Středočeský kraj
312,94,94,93,261,100,100,96,Bavoryně,Beroun,Středočeský kraj
518,205,204,200,519,247,247,246,Chodouň,Beroun,Středočeský kraj
192,58,58,56,188,58,58,56,Chlustina,Beroun,Středočeský kraj
201,74,74,74,203,104,104,104,Točník,Beroun,Středočeský kraj
230,68,68,68,191,81,81,81,Železná,Beroun,Středočeský kraj
153,60,60,60,147,77,77,77,Drnek,Kladno,Středočeský kraj
319,92,92,92,344,90,90,85,Kamenný Most,Kladno,Středočeský kraj
519,241,241,241,504,253,253,239,Lhota,Kladno,Středočeský kraj
280,59,58,57,282,81,81,81,Hobšovice,Kladno,Středočeský kraj
223,78,78,78,200,90,90,88,Malé Přítočno,Kladno,Středočeský kraj
218,79,79,79,201,101,101,97,Dolany,Kladno,Středočeský kraj
51477,13980,13959,13829,53983,18647,18551,18189,Kladno,Kladno,Středočeský kraj
149,90,90,90,135,86,86,83,Běloky,Kladno,Středočeský kraj
286,104,104,103,281,107,107,107,Beřovice,Kladno,Středočeský kraj
231,81,81,81,244,105,105,100,Blevice,Kladno,Středočeský kraj
1686,453,453,449,1544,587,584,561,Brandýsek,Kladno,Středočeský kraj
870,332,332,331,856,430,430,420,Braškov,Kladno,Středočeský kraj
760,272,272,271,744,337,337,331,Bratronice,Kladno,Středočeský kraj
2770,967,967,959,2563,1087,1083,1070,Buštěhrad,Kladno,Středočeský kraj
544,153,153,147,485,178,178,178,Tuřany,Kladno,Středočeský kraj
562,199,199,198,561,227,227,224,Cvrčovice,Kladno,Středočeský kraj
780,219,219,213,775,247,247,244,Černuc,Kladno,Středočeský kraj
1303,389,388,384,1290,556,556,545,Doksy,Kladno,Středočeský kraj
851,302,302,300,841,394,393,386,Družec,Kladno,Středočeský kraj
353,111,111,106,347,121,120,117,Dřetovice,Kladno,Středočeský kraj
259,86,86,84,263,107,107,106,Dřínov,Kladno,Středočeský kraj
559,250,250,247,535,291,291,287,Horní Bezděkov,Kladno,Středočeský kraj
209,67,67,66,207,95,95,95,Hořešovice,Kladno,Středočeský kraj
447,84,84,84,427,101,101,101,Hospozín,Kladno,Středočeský kraj
1116,354,354,350,1008,430,428,415,Hostouň,Kladno,Středočeský kraj
434,136,136,134,400,163,163,162,Hradečno,Kladno,Středočeský kraj
412,169,169,168,404,151,151,149,Hrdlív,Kladno,Středočeský kraj
1634,462,457,457,1545,605,602,594,Hřebeč,Kladno,Středočeský kraj
232,73,73,72,216,82,82,80,Chržín,Kladno,Středočeský kraj
243,66,66,66,226,84,84,83,Jarpice,Kladno,Středočeský kraj
339,108,108,107,326,111,111,111,Jedomělice,Kladno,Středočeský kraj
207,87,87,86,207,98,98,98,Jemníky,Kladno,Středočeský kraj
990,291,291,283,1008,341,338,331,Kačice,Kladno,Středočeský kraj
1321,444,444,437,1407,516,516,502,Kamenné Žehrovice,Kladno,Středočeský kraj
789,220,218,211,802,268,268,266,Klobuky,Kladno,Středočeský kraj
237,62,62,62,225,78,78,76,Kmetiněves,Kladno,Středočeský kraj
461,139,139,137,465,175,175,170,Knovíz,Kladno,Středočeský kraj
442,132,132,130,456,141,141,132,Koleč,Kladno,Středočeský kraj
65,29,29,29,66,24,24,24,Kvílice,Kladno,Středočeský kraj
489,198,198,195,493,221,218,214,Kyšice,Kladno,Středočeský kraj
389,139,139,136,378,158,158,154,Ledce,Kladno,Středočeský kraj
2526,704,701,696,2472,821,814,794,Libušín,Kladno,Středočeský kraj
412,193,193,192,428,216,216,211,Lidice,Kladno,Středočeský kraj
368,147,147,143,359,167,167,162,Makotřasy,Kladno,Středočeský kraj
421,183,183,182,404,202,200,196,Malé Kyšice,Kladno,Středočeský kraj
320,98,98,97,316,112,111,109,Malíkovice,Kladno,Středočeský kraj
345,80,80,78,336,100,100,98,Neuměřice,Kladno,Středočeský kraj
601,211,211,209,605,261,260,252,Otvovice,Kladno,Středočeský kraj
139,52,52,52,145,61,61,61,Pavlov,Kladno,Středočeský kraj
1558,429,428,426,1546,630,619,596,Pchery,Kladno,Středočeský kraj
491,177,177,176,448,190,190,187,Pletený Újezd,Kladno,Středočeský kraj
295,78,78,78,259,105,105,102,Podlešín,Kladno,Středočeský kraj
364,149,149,148,351,170,170,169,Pozdeň,Kladno,Středočeský kraj
309,101,101,101,303,128,128,126,Přelíc,Kladno,Středočeský kraj
321,113,113,111,293,113,113,111,Řisuty,Kladno,Středočeský kraj
262,71,71,69,256,117,117,116,Sazená,Kladno,Středočeský kraj
11141,3403,3393,3351,11996,4394,4393,4346,Slaný,Kladno,Středočeský kraj
465,154,154,153,473,192,191,183,Slatina,Kladno,Středočeský kraj
1555,453,453,449,1591,494,492,481,Smečno,Kladno,Středočeský kraj
742,203,203,200,682,255,255,252,Stehelčeves,Kladno,Středočeský kraj
4376,1153,1152,1135,4408,1438,1433,1395,Stochov,Kladno,Středočeský kraj
576,146,146,146,584,220,220,214,Svinařov,Kladno,Středočeský kraj
145,57,56,55,137,52,52,52,Šlapanice,Kladno,Středočeský kraj
458,150,150,148,481,196,195,192,Třebichovice,Kladno,Středočeský kraj
188,81,81,80,190,89,89,89,Třebíz,Kladno,Středočeský kraj
393,148,148,145,406,143,143,143,Třebusice,Kladno,Středočeský kraj
2066,724,724,716,2018,911,911,894,Tuchlovice,Kladno,Středočeský kraj
301,87,87,87,298,103,103,103,Uhy,Kladno,Středočeský kraj
3845,1319,1318,1310,3653,1597,1589,1570,Unhošť,Kladno,Středočeský kraj
1445,496,495,488,1407,678,678,666,Velká Dobrá,Kladno,Středočeský kraj
802,268,268,268,806,330,325,322,Velké Přítočno,Kladno,Středočeský kraj
2400,668,668,662,2449,860,860,857,Velvary,Kladno,Středočeský kraj
1624,507,507,500,1615,585,585,575,Vinařice,Kladno,Středočeský kraj
578,183,183,180,555,200,200,197,Vraný,Kladno,Středočeský kraj
491,180,180,179,466,181,181,180,Zákolany,Kladno,Středočeský kraj
1744,515,511,495,1795,508,506,504,Zlonice,Kladno,Středočeský kraj
688,206,206,204,694,240,238,234,Zvoleněves,Kladno,Středočeský kraj
660,240,240,235,664,271,270,266,Žilina,Kladno,Středočeský kraj
552,261,259,252,530,250,250,248,Žižice,Kladno,Středočeský kraj
259,93,93,93,260,123,123,122,Běleč,Kladno,Středočeský kraj
108,40,40,40,104,35,35,33,Loucká,Kladno,Středočeský kraj
201,90,90,88,184,84,84,84,Královice,Kladno,Středočeský kraj
170,56,56,53,152,58,58,56,Bílichov,Kladno,Středočeský kraj
105,40,40,40,102,35,35,34,Hořešovičky,Kladno,Středočeský kraj
1710,572,572,565,1708,684,684,674,Lány,Kladno,Středočeský kraj
386,116,116,116,357,139,139,137,Studeněves,Kladno,Středočeský kraj
169,64,64,64,172,80,80,80,Poštovice,Kladno,Středočeský kraj
172,63,63,63,167,77,77,77,Plchov,Kladno,Středočeský kraj
58,30,30,30,53,29,29,27,Libochovičky,Kladno,Středočeský kraj
163,69,69,68,169,69,69,68,Páleč,Kladno,Středočeský kraj
159,92,92,90,143,87,87,86,Zichovec,Kladno,Středočeský kraj
175,67,67,66,167,41,41,41,Vrbičany,Kladno,Středočeský kraj
91,43,43,43,85,41,41,41,Kutrovice,Kladno,Středočeský kraj
118,27,27,27,132,42,42,42,Neprobylice,Kladno,Středočeský kraj
82,27,27,27,81,35,35,34,Líský,Kladno,Středočeský kraj
91,20,20,20,94,32,32,32,Zájezd,Kladno,Středočeský kraj
293,96,96,94,270,128,127,127,Libovice,Kladno,Středočeský kraj
152,52,52,51,145,44,44,44,Želenice,Kladno,Středočeský kraj
454,155,155,154,439,217,217,213,Svárov,Kladno,Středočeský kraj
103,27,27,27,96,27,27,27,Stradonice,Kladno,Středočeský kraj
158,58,58,58,155,74,74,72,Polní Voděrady,Kolín,Středočeský kraj
286,113,113,111,273,123,123,123,Ždánice,Kolín,Středočeský kraj
95,41,41,41,100,50,50,49,Dománovice,Kolín,Středočeský kraj
89,39,39,39,97,48,48,48,Zalešany,Kolín,Středočeský kraj
145,64,64,63,149,64,64,63,Polní Chrčice,Kolín,Středočeský kraj
205,77,77,76,189,79,78,77,Žabonosy,Kolín,Středočeský kraj
150,53,53,52,154,58,58,56,Lipec,Kolín,Středočeský kraj
142,61,61,59,139,51,51,51,Mrzky,Kolín,Středočeský kraj
248,87,87,86,234,126,126,124,Přehvozdí,Kolín,Středočeský kraj
351,102,102,101,357,149,149,145,Přistoupim,Kolín,Středočeský kraj
174,75,75,73,165,66,66,66,Kbel,Kolín,Středočeský kraj
292,98,98,98,295,119,119,117,Pašinka,Kolín,Středočeský kraj
23482,7473,7471,7410,24308,9694,9661,9490,Kolín,Kolín,Středočeský kraj
204,71,71,69,199,92,91,90,Barchovice,Kolín,Středočeský kraj
844,299,299,297,829,273,273,270,Bečváry,Kolín,Středočeský kraj
242,93,93,92,233,79,78,78,Bělušice,Kolín,Středočeský kraj
246,85,85,85,245,106,106,106,Břežany I,Kolín,Středočeský kraj
594,168,168,166,592,220,220,219,Břežany II,Kolín,Středočeský kraj
528,209,209,207,475,185,185,183,Býchory,Kolín,Středočeský kraj
1459,416,416,409,1375,489,488,472,Cerhenice,Kolín,Středočeský kraj
1553,466,466,461,1478,637,637,628,Červené Pečky,Kolín,Středočeský kraj
5499,1717,1717,1698,5489,2212,2197,2169,Český Brod,Kolín,Středočeský kraj
618,200,200,199,608,255,255,248,Dobřichov,Kolín,Středočeský kraj
373,103,103,103,350,120,120,116,Dolní Chvatliny,Kolín,Středočeský kraj
865,264,264,262,625,282,282,278,Doubravčice,Kolín,Středočeský kraj
386,99,99,96,401,143,143,142,Horní Kruty,Kolín,Středočeský kraj
389,150,150,149,382,172,172,169,Chotutice,Kolín,Středočeský kraj
535,178,178,176,533,188,188,184,Chrášťany,Kolín,Středočeský kraj
401,146,146,145,385,161,160,158,Jestřabí Lhota,Kolín,Středočeský kraj
829,293,293,293,814,308,308,301,Klučov,Kolín,Středočeský kraj
760,182,182,179,723,242,240,235,Konárovice,Kolín,Středočeský kraj
488,170,170,169,499,181,181,175,Kořenice,Kolín,Středočeský kraj
1555,451,451,446,1511,543,543,531,Kouřim,Kolín,Středočeský kraj
718,239,239,238,681,257,257,251,Krakovany,Kolín,Středočeský kraj
339,96,96,96,317,118,118,116,Krupá,Kolín,Středočeský kraj
433,141,141,140,395,155,152,147,Křečhoř,Kolín,Středočeský kraj
250,98,98,98,242,70,70,70,Libenice,Kolín,Středočeský kraj
243,91,91,89,237,84,84,82,Libodřice,Kolín,Středočeský kraj
250,76,76,76,241,79,79,76,Lošany,Kolín,Středočeský kraj
273,119,119,119,268,129,129,126,Malotice,Kolín,Středočeský kraj
580,237,237,234,542,281,278,267,Nebovidy,Kolín,Středočeský kraj
1054,295,295,293,1017,407,407,393,Nová Ves I,Kolín,Středočeský kraj
253,74,74,74,244,81,81,80,Ohaře,Kolín,Středočeský kraj
661,267,267,266,627,244,244,236,Ovčáry,Kolín,Středočeský kraj
1465,391,391,388,1431,453,453,441,Plaňany,Kolín,Středočeský kraj
523,208,208,208,536,246,245,238,Polepy,Kolín,Středočeský kraj
642,157,157,155,621,273,273,270,Přišimasy,Kolín,Středočeský kraj
934,304,304,304,958,412,412,400,Radim,Kolín,Středočeský kraj
303,126,126,126,309,153,153,145,Radovesnice I,Kolín,Středočeský kraj
406,135,135,132,419,141,138,136,Radovesnice II,Kolín,Středočeský kraj
444,187,187,187,457,234,234,231,Ratboř,Kolín,Středočeský kraj
447,143,143,141,400,149,148,148,Rostoklaty,Kolín,Středočeský kraj
164,61,61,61,163,60,60,60,Skvrňov,Kolín,Středočeský kraj
1264,388,388,385,1273,497,497,491,Starý Kolín,Kolín,Středočeský kraj
401,137,137,135,460,132,132,128,Svojšice,Kolín,Středočeský kraj
441,115,115,115,401,125,125,121,Tismice,Kolín,Středočeský kraj
295,97,97,97,285,118,118,115,Toušice,Kolín,Středočeský kraj
419,148,148,148,420,172,172,172,Třebovle,Kolín,Středočeský kraj
767,298,298,296,786,344,344,339,Tři Dvory,Kolín,Středočeský kraj
423,125,125,123,373,131,130,129,Tuchoraz,Kolín,Středočeský kraj
774,283,283,283,756,348,346,339,Tuklaty,Kolín,Středočeský kraj
1676,494,493,491,1648,632,632,619,Týnec nad Labem,Kolín,Středočeský kraj
308,133,133,132,301,131,131,129,Uhlířská Lhota,Kolín,Středočeský kraj
210,65,65,64,206,78,78,76,Veletov,Kolín,Středočeský kraj
1701,555,555,548,1723,707,702,693,Velim,Kolín,Středočeský kraj
1937,594,593,587,1896,697,690,675,Velký Osek,Kolín,Středočeský kraj
1161,414,413,410,1173,442,442,437,Veltruby,Kolín,Středočeský kraj
880,256,256,254,852,271,271,269,Vitice,Kolín,Středočeský kraj
439,137,137,134,417,126,126,125,Volárna,Kolín,Středočeský kraj
319,101,101,101,298,97,97,96,Vrbčany,Kolín,Středočeský kraj
1599,488,488,483,1543,512,512,503,Zásmuky,Kolín,Středočeský kraj
1129,347,347,341,1129,290,288,283,Žiželice,Kolín,Středočeský kraj
179,73,73,73,152,64,64,62,Choťovice,Kolín,Středočeský kraj
3624,1248,1247,1241,3689,1529,1526,1500,Pečky,Kolín,Středočeský kraj
461,150,150,150,462,191,191,186,Pňov-Předhradí,Kolín,Středočeský kraj
1164,412,412,410,1162,509,509,503,Poříčany,Kolín,Středočeský kraj
501,141,141,138,468,165,165,163,Ratenice,Kolín,Středočeský kraj
